Month,Mdate,Time,Hourly_Counts
April,21,7,209.0
April,21,8,561.0
April,21,9,815.0
April,21,10,1468.0
April,21,11,2315.0
April,21,12,3210.0
April,21,13,3682.0
April,21,14,3527.0
April,21,15,3616.0
April,21,16,3325.0
April,21,17,3537.0
April,21,18,2936.0
April,21,19,2250.0
April,21,20,1552.0
April,21,21,1162.0
April,21,22,732.0
April,21,23,478.0
April,22,0,274.0
April,22,1,216.0
April,22,2,142.0
April,22,3,101.0
April,22,4,56.0
April,22,5,28.0
April,22,6,56.0
April,22,7,120.0
April,22,8,264.0
April,22,9,749.0
April,22,10,1561.0
April,22,11,2386.0
April,22,12,3092.0
April,22,13,3542.0
April,22,14,3755.0
April,22,15,3783.0
April,22,16,3592.0
April,22,17,3160.0
April,22,18,2491.0
April,22,19,1680.0
April,22,20,942.0
April,22,21,647.0
April,22,22,516.0
April,22,23,308.0
April,23,0,220.0
April,23,1,156.0
April,23,2,71.0
April,23,3,59.0
April,23,4,78.0
April,23,5,72.0
April,23,6,98.0
April,23,7,208.0
April,23,8,532.0
April,23,9,912.0
April,23,10,1485.0
April,23,11,2208.0
April,23,12,3260.0
April,23,13,3619.0
April,23,14,3314.0
April,23,15,3338.0
April,23,16,3177.0
April,23,17,3012.0
April,23,18,2170.0
April,23,19,1293.0
April,23,20,792.0
April,23,21,610.0
April,23,22,322.0
April,23,23,186.0
April,24,0,95.0
April,24,1,54.0
April,24,2,40.0
April,24,3,22.0
April,24,4,22.0
April,24,5,43.0
April,24,6,133.0
April,24,7,323.0
April,24,8,840.0
April,24,9,1086.0
April,24,10,1690.0
April,24,11,2377.0
April,24,12,3768.0
April,24,13,3828.0
April,24,14,3272.0
April,24,15,3154.0
April,24,16,3110.0
April,24,17,3328.0
April,24,18,2504.0
April,24,19,1445.0
April,24,20,886.0
April,24,21,611.0
April,24,22,436.0
April,24,23,308.0
April,25,0,140.0
April,25,1,108.0
April,25,2,81.0
April,25,3,80.0
April,25,4,74.0
April,25,5,44.0
April,25,6,48.0
April,25,7,149.0
April,25,8,214.0
April,25,9,462.0
April,25,10,1094.0
April,25,11,1866.0
April,25,12,2741.0
April,25,13,2904.0
April,25,14,3269.0
April,25,15,3274.0
April,25,16,3059.0
April,25,17,2576.0
April,25,18,1998.0
April,25,19,1277.0
April,25,20,615.0
April,25,21,424.0
April,25,22,262.0
April,25,23,144.0
April,26,0,65.0
April,26,1,48.0
April,26,2,28.0
April,26,3,20.0
April,26,4,16.0
April,26,5,47.0
April,26,6,114.0
April,26,7,370.0
April,26,8,857.0
April,26,9,1059.0
April,26,10,1624.0
April,26,11,2196.0
April,26,12,3206.0
April,26,13,3374.0
April,26,14,2888.0
April,26,15,2746.0
April,26,16,2866.0
April,26,17,3166.0
