Trading name,Industry (ANZSIC4) description,Longitude,Latitude
Audi Centre Melbourne,Car Retailing,144.9497733,-37.8070232
Escape Club Melbourne,Amusement Parks and Centres Operation,144.9554948,-37.80560889
Michael Kors,Other Personal Accessory Retailing,144.9638386,-37.81245199
Entrecote City,Cafes and Restaurants,144.9702813,-37.8139675
McLaughlin Consolidated Fishermen,Fish and Seafood Wholesaling,144.9193186,-37.79957121
IGA Express,Supermarket and Grocery Stores,144.94764709999998,-37.82461477
BHP Billiton Limited,Iron Ore Mining,144.9682892,-37.81563788
The Melbourne Youth Clinic,Specialist Medical Services,144.9843298,-37.81014349
Aither,Management Advice and Other Consulting Services,144.9638605,-37.8150689
Milk The Cow,Cafes and Restaurants,144.96712580000002,-37.79777439
Punthill Melbourne Northbank / Mini Bar,Accommodation,144.9557665,-37.82061096
Rauland,Other Electronic Equipment Manufacturing,144.9374735,-37.79655236
Mr Jason Patterson ,Jewellery and Silverware Manufacturing,144.9667041,-37.81674222
The Blind Tiger / Speakeasy HQ,Performing Arts Operation,144.9568837,-37.82024346
Francis Lim ,Legal Services,144.95975430000001,-37.81355361
Cafe On Collins,Cafes and Restaurants,144.96382309999998,-37.81662708
K X Architecture Pty Ltd,Architectural Services,144.9394657,-37.788769200000004
Urban Hub,Convenience Store,144.9580529,-37.81075363
Komegashi,Cafes and Restaurants,144.9536295,-37.81236188
Rothschild,Other Auxiliary Finance and Investment Services,144.9693797,-37.81398457
Oskar,Cafes and Restaurants,144.94897890000001,-37.80488639
The Northern Trust Company ,Financial Asset Investing,144.9707087,-37.81358646
Netnames Pty Ltd,Computer System Design and Related Services,144.9558446,-37.81824465
Vacant,Vacant Space,144.9305341,-37.81318304
The Centre ,Other Social Assistance Services,144.949815,-37.8037844
Joseph Palmer & Sons (Vic),Other Auxiliary Finance and Investment Services,144.96334330000002,-37.81611256
Treasury Wine Estates Australia Limited,Wine and Other Alcoholic Beverage Manufacturing,144.9598504,-37.82440928
Dorevitch Pathology,Pathology and Diagnostic Imaging Services,144.96565769999998,-37.81541957
Brian Ward & Partners,Legal Services,144.9562135,-37.81439357
Sedi Academy,Educational Support Services,144.9583339,-37.81753764
Bank of Queensland,Banking,144.96882380000002,-37.81289167
Vacant,Vacant Space,144.95714089999998,-37.81874137
Stellar Dental Pty Ltd,Dental Services,144.96612580000001,-37.81528474
Palisade Asset Management Pty Ltd,Other Auxiliary Finance and Investment Services,144.9589392,-37.81595642
WT Partnership Aust Pty Ltd,Engineering Design and Engineering Consulting Services,144.96337580000002,-37.82092509
Kwik Kopy ,Printing,144.9583865,-37.81527349
Cotton On,Clothing Retailing,144.9523782,-37.82539976
iJapanese Language & CCulture School,"Adult, Community and Other Education n.e.c.",144.9656511,-37.81635062
Thr1ve,Cafes and Restaurants,144.9726281,-37.81430616
Cafe Victoria,Cafes and Restaurants,144.95723950000001,-37.80745984
Rochis Opals,Watch and Jewellery Retailing,144.96715680000003,-37.81384227
Bureau Of Meteorology,"Other Professional, Scientific and Technical Services n.e.c.",144.94534019999998,-37.81453858
Clean Energy Council Limited ,Other Interest Group Services n.e.c.,144.97049619999999,-37.81055707
L Arthur Pty Ltd,Road Freight Transport,144.9151741,-37.80623078
"Mr N A Collier, Mr B Fleming, R Wilson, Mr A R Hyett & Mr C Murphy",Specialist Medical Services,144.9822638,-37.8094576
Ancyn Screen Printers,Printing,144.9351493,-37.79799287
Vacant,Vacant Space,144.9360968,-37.82534657
Vacant,Vacant Space,144.9360968,-37.82534657
Mr Howard George Draper,Legal Services,144.957088,-37.81686865
Dr Christos Pavlidis,General Practice Medical Services,144.9465069,-37.798728000000004
Hermes Paris,Other Personal Accessory Retailing,144.9713489,-37.8143446
EPS Group Australia,Other Mining Support Services,144.94019939999998,-37.81427742
Ssarim's Cafe,Cafes and Restaurants,144.9532514,-37.81166257
Sunderland Marine Mutual Insurance Company Limited ,General Insurance,144.97965019999998,-37.8179154
Victorian Arts Centre - State Theatre,Performing Arts Venue Operation,144.9682264,-37.82094188
Child Protection Litigation Office,State Government Administration,144.9586138,-37.81298088
Vacant,Vacant Space,144.9613939,-37.82293435
Sea Life Melbourne Aquarium,Zoological and Botanical Gardens Operation,144.9589895,-37.8204728
Mills Oakley Lawyers,Legal Services,144.95683480000002,-37.81767359
SAM Law,Legal Services,144.94880600000002,-37.80257964
Ms Pauline Pearson ,Other Social Assistance Services,144.97153219999998,-37.79721605
City Baths Spinal & Sports Medicine Clinic,Physiotherapy Services,144.96338630000002,-37.80700694
Vacant,Vacant Space,144.96558280000002,-37.81407743
Vacant,Vacant Space,144.96558280000002,-37.81407743
The Little Royal ,Other Specialised Food Retailing,144.964049,-37.81458812
Lollie Lovers ,Other Specialised Food Retailing,144.95723950000001,-37.80745984
Westbourne Motors,Automotive Electrical Services,144.93089080000001,-37.80235566
East Melbourne Orthopaedic Clinic,Specialist Medical Services,144.98856619999998,-37.81000389
St Vincents Private Hospital Pharmacy East Melbourne,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9841619,-37.81229599
Dr John Laidlaw ,Specialist Medical Services,144.9559628,-37.79854141
Workspace Commercial Furniture,Other Building Installation Services,144.9073336,-37.82542123
Melbourne Hebrew Congregation,Religious Services,144.9766695,-37.83642008
QV Hair,Hairdressing and Beauty Services,144.9657034,-37.810658000000004
H&R Block,Accounting Services,144.94345990000002,-37.82044558
Webcasting,Computer System Design and Related Services,144.9449612,-37.81396231
George The Fishmonger,"Fresh Meat, Fish and Poultry Retailing",144.95723950000001,-37.80745984
Uhak Station,Educational Support Services,144.9663304,-37.81584476
Ronald Mcdonald House Charities,Accommodation,144.9518158,-37.79644501
HTH Lawyers,Legal Services,144.9583339,-37.81753764
Upstream Production Solutions,Other Mining Support Services,144.95555290000001,-37.81677365
RB Legal,Legal Services,144.95996399999999,-37.81269018
The Lithuanian Club in Melbourne,Other Interest Group Services n.e.c.,144.9500439,-37.80411038
Windsor Legal,Legal Services,144.957088,-37.81686865
Blackstone Waterhouse Zouki,Legal Services,144.9589392,-37.81595642
Jim's Computer Services,Computer System Design and Related Services,144.920001,-37.79164316
Hair La Ross,Hairdressing and Beauty Services,144.9652897,-37.81162035
AWM Electrical & Data Supplies,Houseware Retailing,144.96388230000002,-37.80353309
Romeo Lane,"Pubs, Taverns and Bars",144.97138080000002,-37.81156933
Florsheim,Footwear Retailing,144.9638386,-37.81245199
Maxus Communications,Advertising Services,144.9678476,-37.81450301
Miami Hotel Melbourne,Accommodation,144.9485939,-37.80609472
TMVC The Travel Doctor,Specialist Medical Services,144.96120430000002,-37.813851299999996
Moir's Investment Service,Financial Asset Investing,144.95448019999998,-37.80690058
Women In Dentistry,Dental Services,144.9733552,-37.81383756
Kauri Australia,Wine and Other Alcoholic Beverage Manufacturing,144.9360968,-37.82534657
MiFi,Accounting Services,144.9583865,-37.81527349
Strand Bags Outlet,Other Personal Accessory Retailing,144.93782990000003,-37.81315031
Onitsuka Tiger,Footwear Retailing,144.9628783,-37.81261442
AOU Education and Migration,Other Personal Services n.e.c.,144.9591969,-37.81499761
Occhio Eyewear,Optometry and Optical Dispensing,144.9699756,-37.80941489
Three Pandas Dumpling HOuse,Takeaway Food Services,144.95019140000002,-37.79382016
MEIC Education,Other Personal Services n.e.c.,144.9622612,-37.81416507
