Month,Mdate,Time,hourly_counts
April,17,3,32.0
April,17,4,24.0
April,17,5,84.0
April,17,6,212.0
April,17,7,533.0
April,17,8,1303.0
April,17,9,1428.0
April,17,10,1843.0
April,17,11,2320.0
April,17,12,3864.0
April,17,13,3598.0
April,17,14,3011.0
April,17,15,3070.0
April,17,16,3156.0
April,17,17,3842.0
April,17,18,3214.0
April,17,19,2090.0
April,17,20,1915.0
April,17,21,1891.0
April,17,22,813.0
April,17,23,935.0
April,18,0,266.0
April,18,1,200.0
April,18,2,77.0
April,18,3,58.0
April,18,4,48.0
April,18,5,84.0
April,18,6,191.0
April,18,7,552.0
April,18,8,1270.0
April,18,9,1274.0
April,18,10,1880.0
April,18,11,2438.0
April,18,12,3415.0
April,18,13,3742.0
April,18,14,3157.0
April,18,15,3141.0
April,18,16,3198.0
April,18,17,3847.0
April,18,18,3275.0
April,18,19,2215.0
April,18,20,2017.0
April,18,21,1939.0
April,18,22,973.0
April,18,23,850.0
April,19,0,338.0
April,19,1,175.0
April,19,2,192.0
April,19,3,51.0
April,19,4,44.0
April,19,5,75.0
April,19,6,208.0
April,19,7,517.0
April,19,8,1242.0
April,19,9,1279.0
April,19,10,1734.0
April,19,11,2231.0
April,19,12,3444.0
April,19,13,3843.0
April,19,14,3191.0
April,19,15,3248.0
April,19,16,3204.0
April,19,17,3899.0
April,19,18,3364.0
April,19,19,2246.0
April,19,20,2146.0
April,19,21,2018.0
April,19,22,1179.0
April,19,23,934.0
April,20,0,291.0
April,20,1,223.0
April,20,2,108.0
April,20,3,104.0
April,20,4,157.0
April,20,5,89.0
April,20,6,202.0
April,20,7,543.0
April,20,8,1127.0
April,20,9,1344.0
April,20,10,1816.0
April,20,11,2330.0
April,20,12,3422.0
April,20,13,3784.0
April,20,14,3446.0
April,20,15,3365.0
April,20,16,3531.0
April,20,17,4299.0
April,20,18,4020.0
April,20,19,3163.0
April,20,20,2775.0
April,20,21,2619.0
April,20,22,2052.0
April,20,23,1918.0
April,21,0,893.0
April,21,1,811.0
April,21,2,573.0
April,21,3,620.0
April,21,4,411.0
April,21,5,153.0
April,21,6,187.0
April,21,7,176.0
April,21,8,383.0
April,21,9,819.0
April,21,10,1475.0
April,21,11,2100.0
April,21,12,2902.0
April,21,13,3376.0
April,21,14,3595.0
April,21,15,3538.0
April,21,16,3509.0
April,21,17,3301.0
April,21,18,2981.0
April,21,19,2708.0
April,21,20,2701.0
April,21,21,2301.0
April,21,22,1708.0
April,21,23,1770.0
April,22,0,895.0
April,22,1,900.0
April,22,2,646.0
April,22,3,398.0
April,22,4,424.0
April,22,5,195.0
April,22,6,163.0
April,22,7,198.0
April,22,8,301.0
April,22,9,629.0
