date_time,day,hourly_counts,id,mdate,month,sensor_id,sensor_name,time,year
17/02/2019 22:00,Sunday,84,2566287,17,February,48,QVM-Queen St (East),22,2019
17/02/2019 22:00,Sunday,80,2566288,17,February,49,QVM-Therry St (South),22,2019
17/02/2019 22:00,Sunday,152,2566289,17,February,50,Faraday St-Lygon St (West),22,2019
17/02/2019 22:00,Sunday,93,2566290,17,February,51,QVM-Franklin St (North),22,2019
17/02/2019 22:00,Sunday,206,2566291,17,February,52,Elizabeth St-Lonsdale St (South),22,2019
17/02/2019 22:00,Sunday,81,2566292,17,February,54,Lincoln-Swanston(West),22,2019
17/02/2019 22:00,Sunday,160,2566293,17,February,56,Lonsdale St - Elizabeth St (North),22,2019
17/02/2019 22:00,Sunday,117,2566294,17,February,57,Bourke St Bridge,22,2019
17/02/2019 22:00,Sunday,311,2566295,17,February,58,Bourke St - Spencer St (North),22,2019
17/02/2019 22:00,Sunday,308,2566296,17,February,59,Swanston St - RMIT Building 80,22,2019
17/02/2019 23:00,Sunday,388,2566297,17,February,4,Town Hall (West),23,2019
17/02/2019 23:00,Sunday,62,2566298,17,February,17,Collins Place (South),23,2019
17/02/2019 23:00,Sunday,41,2566299,17,February,18,Collins Place (North),23,2019
17/02/2019 23:00,Sunday,83,2566300,17,February,53,Collins St (North),23,2019
17/02/2019 23:00,Sunday,96,2566301,17,February,2,Bourke Street Mall (South),23,2019
17/02/2019 23:00,Sunday,149,2566302,17,February,1,Bourke Street Mall (North),23,2019
17/02/2019 23:00,Sunday,216,2566303,17,February,15,State Library,23,2019
17/02/2019 23:00,Sunday,52,2566304,17,February,9,Southern Cross Station,23,2019
17/02/2019 23:00,Sunday,28,2566305,17,February,10,Victoria Point,23,2019
17/02/2019 23:00,Sunday,115,2566306,17,February,12,New Quay,23,2019
17/02/2019 23:00,Sunday,70,2566307,17,February,11,Waterfront City,23,2019
17/02/2019 23:00,Sunday,49,2566308,17,February,8,Webb Bridge,23,2019
17/02/2019 23:00,Sunday,242,2566309,17,February,5,Princes Bridge,23,2019
17/02/2019 23:00,Sunday,609,2566310,17,February,6,Flinders Street Station Underpass,23,2019
17/02/2019 23:00,Sunday,293,2566311,17,February,14,Sandridge Bridge,23,2019
17/02/2019 23:00,Sunday,196,2566312,17,February,26,QV Market-Elizabeth St (West),23,2019
17/02/2019 23:00,Sunday,279,2566313,17,February,24,Spencer St-Collins St (North),23,2019
17/02/2019 23:00,Sunday,72,2566314,17,February,23,Spencer St-Collins St (South),23,2019
17/02/2019 23:00,Sunday,159,2566315,17,February,25,Melbourne Convention Exhibition Centre,23,2019
17/02/2019 23:00,Sunday,363,2566316,17,February,21,Bourke St-Russell St (West),23,2019
17/02/2019 23:00,Sunday,142,2566317,17,February,20,Chinatown-Lt Bourke St (South),23,2019
17/02/2019 23:00,Sunday,192,2566318,17,February,19,Chinatown-Swanston St (North),23,2019
17/02/2019 23:00,Sunday,1026,2566319,17,February,22,Flinders St-Elizabeth St (East),23,2019
17/02/2019 23:00,Sunday,37,2566320,17,February,27,QV Market-Peel St,23,2019
17/02/2019 23:00,Sunday,311,2566321,17,February,28,The Arts Centre,23,2019
17/02/2019 23:00,Sunday,155,2566322,17,February,31,Lygon St (West),23,2019
