hourly_counts,sensor_id,time,latitude,longitude
1605,25,14,-37.82401776,144.95604430000003
1669,25,15,-37.82401776,144.95604430000003
1607,25,16,-37.82401776,144.95604430000003
1527,25,17,-37.82401776,144.95604430000003
417,21,10,-37.81244703,144.96778759999998
652,21,11,-37.81244703,144.96778759999998
916,21,12,-37.81244703,144.96778759999998
1073,21,13,-37.81244703,144.96778759999998
1109,21,14,-37.81244703,144.96778759999998
1144,21,15,-37.81244703,144.96778759999998
1133,21,16,-37.81244703,144.96778759999998
1157,21,17,-37.81244703,144.96778759999998
309,20,10,-37.81172913,144.96824660000001
505,20,11,-37.81172913,144.96824660000001
754,20,12,-37.81172913,144.96824660000001
796,20,13,-37.81172913,144.96824660000001
654,20,14,-37.81172913,144.96824660000001
594,20,15,-37.81172913,144.96824660000001
534,20,16,-37.81172913,144.96824660000001
639,20,17,-37.81172913,144.96824660000001
385,19,10,-37.81237202,144.9655067
711,19,11,-37.81237202,144.9655067
1200,19,12,-37.81237202,144.9655067
1374,19,13,-37.81237202,144.9655067
1327,19,14,-37.81237202,144.9655067
1263,19,15,-37.81237202,144.9655067
1196,19,16,-37.81237202,144.9655067
1240,19,17,-37.81237202,144.9655067
1603,22,10,-37.81786445,144.9650682
1982,22,11,-37.81786445,144.9650682
2338,22,12,-37.81786445,144.9650682
2607,22,13,-37.81786445,144.9650682
2612,22,14,-37.81786445,144.9650682
2659,22,15,-37.81786445,144.9650682
2820,22,16,-37.81786445,144.9650682
2926,22,17,-37.81786445,144.9650682
322,27,10,-37.80606888,144.9564469
382,27,11,-37.80606888,144.9564469
441,27,12,-37.80606888,144.9564469
435,27,13,-37.80606888,144.9564469
398,27,14,-37.80606888,144.9564469
333,27,15,-37.80606888,144.9564469
244,27,16,-37.80606888,144.9564469
193,27,17,-37.80606888,144.9564469
1234,28,10,-37.82129924,144.9687931
1756,28,11,-37.82129924,144.9687931
2210,28,12,-37.82129924,144.9687931
2641,28,13,-37.82129924,144.9687931
2472,28,14,-37.82129924,144.9687931
2406,28,15,-37.82129924,144.9687931
2557,28,16,-37.82129924,144.9687931
2022,28,17,-37.82129924,144.9687931
189,31,10,-37.8016968,144.9665891
264,31,11,-37.8016968,144.9665891
348,31,12,-37.8016968,144.9665891
412,31,13,-37.8016968,144.9665891
484,31,14,-37.8016968,144.9665891
521,31,15,-37.8016968,144.9665891
520,31,16,-37.8016968,144.9665891
558,31,17,-37.8016968,144.9665891
370,30,10,-37.81121849,144.9665681
529,30,11,-37.81121849,144.9665681
737,30,12,-37.81121849,144.9665681
843,30,13,-37.81121849,144.9665681
825,30,14,-37.81121849,144.9665681
836,30,15,-37.81121849,144.9665681
821,30,16,-37.81121849,144.9665681
863,30,17,-37.81121849,144.9665681
124,33,10,-37.81483252,144.97454059999998
123,33,11,-37.81483252,144.97454059999998
123,33,12,-37.81483252,144.97454059999998
137,33,13,-37.81483252,144.97454059999998
138,33,14,-37.81483252,144.97454059999998
132,33,15,-37.81483252,144.97454059999998
138,33,16,-37.81483252,144.97454059999998
148,33,17,-37.81483252,144.97454059999998
137,34,10,-37.81537985,144.97415049999998
161,34,11,-37.81537985,144.97415049999998
159,34,12,-37.81537985,144.97415049999998
170,34,13,-37.81537985,144.97415049999998
182,34,14,-37.81537985,144.97415049999998
185,34,15,-37.81537985,144.97415049999998
200,34,16,-37.81537985,144.97415049999998
210,34,17,-37.81537985,144.97415049999998
192,39,10,-37.81379749,144.9699575
191,39,11,-37.81379749,144.9699575
222,39,12,-37.81379749,144.9699575
212,39,13,-37.81379749,144.9699575
165,39,14,-37.81379749,144.9699575
158,39,15,-37.81379749,144.9699575
163,39,16,-37.81379749,144.9699575
189,39,17,-37.81379749,144.9699575
139,37,10,-37.80310271,144.9667145
188,37,11,-37.80310271,144.9667145
264,37,12,-37.80310271,144.9667145
281,37,13,-37.80310271,144.9667145
296,37,14,-37.80310271,144.9667145
283,37,15,-37.80310271,144.9667145
247,37,16,-37.80310271,144.9667145
258,37,17,-37.80310271,144.9667145
217,40,10,-37.80999341,144.9722759
236,40,11,-37.80999341,144.9722759
274,40,12,-37.80999341,144.9722759
315,40,13,-37.80999341,144.9722759
247,40,14,-37.80999341,144.9722759
249,40,15,-37.80999341,144.9722759
247,40,16,-37.80999341,144.9722759
235,40,17,-37.80999341,144.9722759
171,36,10,-37.81652527,144.9612106
196,36,11,-37.81652527,144.9612106
200,36,12,-37.81652527,144.9612106
189,36,13,-37.81652527,144.9612106
200,36,14,-37.81652527,144.9612106
199,36,15,-37.81652527,144.9612106
205,36,16,-37.81652527,144.9612106
197,36,17,-37.81652527,144.9612106
856,29,10,-37.81965808,144.9686345
1161,29,11,-37.81965808,144.9686345
1340,29,12,-37.81965808,144.9686345
1551,29,13,-37.81965808,144.9686345
1612,29,14,-37.81965808,144.9686345
1606,29,15,-37.81965808,144.9686345
1638,29,16,-37.81965808,144.9686345
1536,29,17,-37.81965808,144.9686345
220,42,10,-37.80008565,144.9638641
239,42,11,-37.80008565,144.9638641
245,42,12,-37.80008565,144.9638641
282,42,13,-37.80008565,144.9638641
250,42,14,-37.80008565,144.9638641
216,42,15,-37.80008565,144.9638641
199,42,16,-37.80008565,144.9638641
209,42,17,-37.80008565,144.9638641
85,43,10,-37.79844525,144.9641178
109,43,11,-37.79844525,144.9641178
147,43,12,-37.79844525,144.9641178
160,43,13,-37.79844525,144.9641178
153,43,14,-37.79844525,144.9641178
144,43,15,-37.79844525,144.9641178
127,43,16,-37.79844525,144.9641178
123,43,17,-37.79844525,144.9641178
59,44,10,-37.79690473,144.9644038
70,44,11,-37.79690473,144.9644038
83,44,12,-37.79690473,144.9644038
87,44,13,-37.79690473,144.9644038
92,44,14,-37.79690473,144.9644038
90,44,15,-37.79690473,144.9644038
87,44,16,-37.79690473,144.9644038
83,44,17,-37.79690473,144.9644038
1805,35,10,-37.82017828,144.9650888
2316,35,11,-37.82017828,144.9650888
2735,35,12,-37.82017828,144.9650888
2991,35,13,-37.82017828,144.9650888
3172,35,14,-37.82017828,144.9650888
3184,35,15,-37.82017828,144.9650888
3295,35,16,-37.82017828,144.9650888
3371,35,17,-37.82017828,144.9650888
80,46,10,-37.80240719,144.9615673
80,46,11,-37.80240719,144.9615673
105,46,12,-37.80240719,144.9615673
117,46,13,-37.80240719,144.9615673
101,46,14,-37.80240719,144.9615673
86,46,15,-37.80240719,144.9615673
91,46,16,-37.80240719,144.9615673
103,46,17,-37.80240719,144.9615673
1057,47,10,-37.81160331,144.9622008
1389,47,11,-37.81160331,144.9622008
1760,47,12,-37.81160331,144.9622008
1950,47,13,-37.81160331,144.9622008
1984,47,14,-37.81160331,144.9622008
