Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Dwelling type,Dwelling number,x coordinate,y coordinate,Location
2017,17,104031,104031,82 Flinders Street,Melbourne (CBD),Residential Apartments,28,144.9719343,-37.81587461,"(-37.81587461, 144.9719343)"
2017,2518,614642,614642,48 McConnell Street,Kensington,House/Townhouse,1,144.9284599,-37.79145893,"(-37.79145893, 144.9284599)"
2017,371,107092,107092,15 O'Shanassy Street,North Melbourne,House/Townhouse,1,144.9507182,-37.80056744,"(-37.80056744, 144.9507182)"
2017,526,105249,105249,44-46 Kensington Road,Kensington,House/Townhouse,1,144.9257743,-37.79493314,"(-37.79493314, 144.9257743)"
2017,438,578028,578028,71 Rosslyn Street,West Melbourne (Residential),House/Townhouse,1,144.9523093,-37.80805475,"(-37.80805475, 144.9523093)"
2017,2542,616386,616386,72 Collett Street,Kensington,House/Townhouse,1,144.9327915,-37.79247007,"(-37.79247007, 144.9327915)"
2017,226,517584,517584,83 Kay Street,Carlton,House/Townhouse,1,144.9722277,-37.79533415,"(-37.79533415, 144.9722277)"
2017,655,623213,623213,14 Magistrates Walk,East Melbourne,House/Townhouse,1,144.9765024,-37.81678757,"(-37.81678757, 144.9765024)"
2017,2389,624230,624230,15 Smyth Mews,North Melbourne,House/Townhouse,1,144.9410256,-37.79301994,"(-37.79301994, 144.9410256)"
2017,203,109348,109348,870-874 Swanston Street,Carlton,House/Townhouse,2,144.9652117,-37.79594681,"(-37.79594681, 144.9652117)"
2017,237,106918,106918,27 Nicholson Street,Carlton,House/Townhouse,1,144.9741276,-37.80052364,"(-37.80052364, 144.9741276)"
2017,601,109610,109610,558 Victoria Parade,East Melbourne,House/Townhouse,1,144.9899923,-37.81021006,"(-37.81021006, 144.9899923)"
2017,2527,615323,615323,38-40 Rankins Road,Kensington,Residential Apartments,12,144.9314993,-37.79002054,"(-37.79002054, 144.9314993)"
2017,2512,617925,617925,80 Market Street,Kensington,House/Townhouse,1,144.9251396,-37.7907529,"(-37.7907529, 144.9251396)"
2017,434,109692,109692,211 Victoria Street,West Melbourne (Residential),House/Townhouse,1,144.9543977,-37.80595069,"(-37.80595069, 144.9543977)"
2017,901,100597,100597,306 The Avenue,Parkville,House/Townhouse,1,144.9584535,-37.78004305,"(-37.78004305, 144.9584535)"
2017,431,109002,109002,49-59 Stanley Street,West Melbourne (Residential),Residential Apartments,6,144.9497923,-37.8082139,"(-37.8082139, 144.9497923)"
2017,224,650267,650267,24-26 David Street,Carlton,House/Townhouse,1,144.9720465,-37.79683021,"(-37.79683021, 144.9720465)"
2017,228,106887,106887,54 Neill Street,Carlton,House/Townhouse,1,144.9726586,-37.79357907,"(-37.79357907, 144.9726586)"
2017,742,110425,110425,6-10 Wells Street,Southbank,Residential Apartments,105,144.9686107,-37.82620877,"(-37.82620877, 144.9686107)"
2017,371,107090,107090,11 O'Shanassy Street,North Melbourne,House/Townhouse,1,144.9508422,-37.80058082,"(-37.80058082, 144.9508422)"
2017,222,103724,103724,120 Faraday Street,Carlton,House/Townhouse,1,144.9707528,-37.79882645,"(-37.79882645, 144.9707528)"
2017,303,103862,103862,271-275 Flemington Road,North Melbourne,House/Townhouse,1,144.9458395,-37.79288479,"(-37.79288479, 144.9458395)"
2017,855,103657,103657,12-14 Fairlie Court,South Yarra,House/Townhouse,1,144.9847941,-37.83245934,"(-37.83245934, 144.9847941)"
2017,2509,618387,618387,8 Market Street,Kensington,House/Townhouse,1,144.9276003,-37.78936309,"(-37.78936309, 144.9276003)"
2017,609,104331,104331,125 Gipps Street,East Melbourne,House/Townhouse,1,144.9865286,-37.81339959,"(-37.81339959, 144.9865286)"
2017,215,106063,106063,31 Little Palmerston Street,Carlton,House/Townhouse,1,144.9696159,-37.79669605,"(-37.79669605, 144.9696159)"
2017,560,111035,111035,18 Cakebread Mews,Kensington,House/Townhouse,1,144.9187856,-37.79291857,"(-37.79291857, 144.9187856)"
2017,223,106282,106282,22-24 MacArthur Place North,Carlton,House/Townhouse,1,144.9720148,-37.79805527,"(-37.79805527, 144.9720148)"
2017,865,101277,101277,9 Bromby Street,South Yarra,House/Townhouse,1,144.9780724,-37.83538918,"(-37.83538918, 144.9780724)"
2017,773,627697,627697,49 South Wharf Drive,Docklands,House/Townhouse,1,144.9378056,-37.82261677,"(-37.82261677, 144.9378056)"
2017,529,570822,570822,39 Goldsbrough Walk,Kensington,House/Townhouse,1,144.9193972,-37.7972577,"(-37.7972577, 144.9193972)"
2017,2525,614742,614742,123 Eastwood Street,Kensington,House/Townhouse,1,144.9308314,-37.79288537,"(-37.79288537, 144.9308314)"
2017,532,103369,103369,19 Epsom Road,Kensington,House/Townhouse,1,144.9265584,-37.79334475,"(-37.79334475, 144.9265584)"
2017,203,107140,107140,15-17 Palmerston Place,Carlton,House/Townhouse,1,144.9655727,-37.79581831,"(-37.79581831, 144.9655727)"
2017,858,109927,109927,86-88 Walsh Street,South Yarra,House/Townhouse,1,144.9854886,-37.8359983,"(-37.8359983, 144.9854886)"
2017,607,110006,110006,82 Wellington Parade,East Melbourne,Residential Apartments,1,144.9873074,-37.81634891,"(-37.81634891, 144.9873074)"
2017,405,109738,109738,431 Victoria Street,West Melbourne (Residential),House/Townhouse,1,144.9459046,-37.80508185,"(-37.80508185, 144.9459046)"
2017,862,110973,110973,85 Millswyn Street,South Yarra,House/Townhouse,1,144.980122,-37.83537158,"(-37.83537158, 144.980122)"
2017,210,101641,101641,390 Cardigan Street,Carlton,House/Townhouse,1,144.966777,-37.79514814,"(-37.79514814, 144.966777)"
2017,2537,614919,614919,39 Smith Street,Kensington,House/Townhouse,1,144.9333638,-37.79136119,"(-37.79136119, 144.9333638)"
2017,229,101456,101456,200 Canning Street,Carlton,House/Townhouse,1,144.9739091,-37.79380353,"(-37.79380353, 144.9739091)"
2017,220,600015,600015,6 Silver Top Terrace,Carlton,House/Townhouse,1,144.9707965,-37.79949244,"(-37.79949244, 144.9707965)"
2017,911,103783,103783,90 Fitzgibbon Street,Parkville,House/Townhouse,1,144.9573078,-37.79393259,"(-37.79393259, 144.9573078)"
2017,238,101742,101742,22 Carlton Street,Carlton,House/Townhouse,1,144.973472,-37.80093818,"(-37.80093818, 144.973472)"
2017,543,110871,110871,7-11 Matthews Mews,Kensington,House/Townhouse,1,144.9210287,-37.79471934,"(-37.79471934, 144.9210287)"
2017,567,102175,102175,14-16 Colonial Place,Kensington,House/Townhouse,1,144.9226946,-37.79069264,"(-37.79069264, 144.9226946)"
2017,406,108904,108904,644 Spencer Street,West Melbourne (Residential),House/Townhouse,1,144.9454519,-37.80615129,"(-37.80615129, 144.9454519)"
2017,255,108032,108032,144-146 Queensberry Street,Carlton,House/Townhouse,1,144.9641,-37.80439861,"(-37.80439861, 144.9641)"
2017,861,106477,106477,81 Mason Street,South Yarra,House/Townhouse,1,144.9808748,-37.83554701,"(-37.83554701, 144.9808748)"
2017,353,103841,103841,179-191 Flemington Road,North Melbourne,House/Townhouse,1,144.9484603,-37.79543579,"(-37.79543579, 144.9484603)"
2017,538,109432,109432,9-11 Tankard Street,Kensington,House/Townhouse,1,144.9201072,-37.79601621,"(-37.79601621, 144.9201072)"
2017,2389,624237,624237,1 Smyth Mews,North Melbourne,House/Townhouse,1,144.9413547,-37.79305634,"(-37.79305634, 144.9413547)"
2017,2509,618433,618433,11 Deveney Street,Kensington,House/Townhouse,1,144.9274445,-37.78921186,"(-37.78921186, 144.9274445)"
2017,545,111503,111503,71 Westbourne Road,Kensington,House/Townhouse,1,144.9215533,-37.79364901,"(-37.79364901, 144.9215533)"
2017,2518,614621,614621,24 McConnell Street,Kensington,House/Townhouse,1,144.9283971,-37.79067824,"(-37.79067824, 144.9283971)"
2017,853,100420,100420,134 Anderson Street,South Yarra,Residential Apartments,6,144.9849299,-37.82912276,"(-37.82912276, 144.9849299)"
2017,529,558189,558189,52 Wakefield Street,Kensington,House/Townhouse,1,144.9197012,-37.79755456,"(-37.79755456, 144.9197012)"
2017,853,501132,501132,13 Alexandra Avenue,South Yarra,House/Townhouse,1,144.9858066,-37.82902512,"(-37.82902512, 144.9858066)"
2017,246,100576,100576,14 Argyle Place North,Carlton,House/Townhouse,1,144.9660893,-37.80182158,"(-37.80182158, 144.9660893)"
2017,2527,615337,615337,6 Parsons Street,Kensington,House/Townhouse,1,144.9305299,-37.7899414,"(-37.7899414, 144.9305299)"
2017,256,108026,108026,210 Queensberry Street,Carlton,Residential Apartments,1,144.9620274,-37.80421363,"(-37.80421363, 144.9620274)"
2017,305,103572,103572,44 Erskine Street,North Melbourne,House/Townhouse,1,144.9437279,-37.79444077,"(-37.79444077, 144.9437279)"
2017,773,637428,637428,128 Lorimer Street,Docklands,House/Townhouse,1,144.9395705,-37.82330054,"(-37.82330054, 144.9395705)"
2017,231,107228,107228,42-44 Palmerston Street,Carlton,House/Townhouse,1,144.9736078,-37.7963948,"(-37.7963948, 144.9736078)"
2017,222,103729,103729,108 Faraday Street,Carlton,House/Townhouse,1,144.9710477,-37.79884683,"(-37.79884683, 144.9710477)"
2017,202,105281,105281,71 Keppel Street,Carlton,House/Townhouse,1,144.9656778,-37.7951862,"(-37.7951862, 144.9656778)"
2017,2505,618079,618079,16 Youlden Street,Kensington,House/Townhouse,1,144.9256156,-37.78890304,"(-37.78890304, 144.9256156)"
2017,306,106548,106548,12 Melrose Street,North Melbourne,House/Townhouse,1,144.9420501,-37.79519138,"(-37.79519138, 144.9420501)"
2017,2518,614591,614591,25 McCracken Street,Kensington,House/Townhouse,1,144.928048,-37.79077101,"(-37.79077101, 144.928048)"
2017,255,625436,625436,10 Little Queensberry Street,Carlton,House/Townhouse,1,144.9642999,-37.80419876,"(-37.80419876, 144.9642999)"
2017,2522,617036,617036,164 Bellair Street,Kensington,House/Townhouse,1,144.9297588,-37.79331373,"(-37.79331373, 144.9297588)"
2017,234,101505,101505,40 Canning Street,Carlton,House/Townhouse,1,144.9730551,-37.79853786,"(-37.79853786, 144.9730551)"
2017,2391,616949,616949,1-9 Caytre Crescent,North Melbourne,House/Townhouse,7,144.9397658,-37.7951203,"(-37.7951203, 144.9397658)"
2017,928,606540,606540,101 Oak Street,Parkville,House/Townhouse,1,144.9418687,-37.78100703,"(-37.78100703, 144.9418687)"
2017,416,104748,104748,118 Hawke Street,West Melbourne (Residential),House/Townhouse,1,144.9445177,-37.80898813,"(-37.80898813, 144.9445177)"
2017,2516,614670,614670,6 McConnell Street,Kensington,House/Townhouse,1,144.9283208,-37.78998338,"(-37.78998338, 144.9283208)"
2017,916,103801,103801,28 Fitzgibbon Street,Parkville,House/Townhouse,1,144.9570256,-37.79619418,"(-37.79619418, 144.9570256)"
2017,547,103386,103386,57 Epsom Road,Kensington,House/Townhouse,1,144.9249693,-37.79168265,"(-37.79168265, 144.9249693)"
2017,307,101752,101752,11 Carroll Street,North Melbourne,House/Townhouse,1,144.9454869,-37.79575232,"(-37.79575232, 144.9454869)"
2017,432,101962,101962,64 Chetwynd Street,West Melbourne (Residential),House/Townhouse,1,144.9525089,-37.80643874,"(-37.80643874, 144.9525089)"
2017,520,589626,589626,64-76 Henry Street,Kensington,House/Townhouse,7,144.9259484,-37.79577971,"(-37.79577971, 144.9259484)"
2017,812,110413,110413,8-10 Kavanagh Street,Southbank,Residential Apartments,157,144.9666055,-37.82241845,"(-37.82241845, 144.9666055)"
2017,353,101840,101840,92 Chapman Street,North Melbourne,House/Townhouse,1,144.9473558,-37.79504739,"(-37.79504739, 144.9473558)"
2017,428,100200,100200,179-183 Adderley Street,West Melbourne (Residential),House/Townhouse,1,144.9460676,-37.80936191,"(-37.80936191, 144.9460676)"
2017,516,107010,107010,19 Ormond Street,Kensington,House/Townhouse,1,144.9302172,-37.79715981,"(-37.79715981, 144.9302172)"
2017,531,560335,560335,121-123 Newman Street,Kensington,House/Townhouse,1,144.9230214,-37.79518261,"(-37.79518261, 144.9230214)"
2017,923,104149,104149,154 Gatehouse Street,Parkville,House/Townhouse,1,144.9554001,-37.79361285,"(-37.79361285, 144.9554001)"
2017,510,103043,103043,159 Eastwood Street,Kensington,House/Townhouse,1,144.9317706,-37.79582322,"(-37.79582322, 144.9317706)"
2017,344,100130,100130,156-158 Abbotsford Street,North Melbourne,House/Townhouse,1,144.945689,-37.80381881,"(-37.80381881, 144.945689)"
2017,532,100697,100697,61 Bangalore Street,Kensington,House/Townhouse,1,144.9240022,-37.7946124,"(-37.7946124, 144.9240022)"
2017,2526,614980,614980,59 Eastwood Street,Kensington,House/Townhouse,1,144.9303628,-37.7907985,"(-37.7907985, 144.9303628)"
2017,655,623208,623208,13 Magistrates Walk,East Melbourne,House/Townhouse,1,144.9765508,-37.81656333,"(-37.81656333, 144.9765508)"
2017,228,556215,556215,19 Victoria Place,Carlton,House/Townhouse,1,144.9728691,-37.79318887,"(-37.79318887, 144.9728691)"
2017,908,108494,108494,187-195 Royal Parade,Parkville,Residential Apartments,57,144.9580002,-37.78954489,"(-37.78954489, 144.9580002)"
2017,332,100640,100640,17 Baillie Street,North Melbourne,House/Townhouse,1,144.9474922,-37.80166318,"(-37.80166318, 144.9474922)"
2017,424,103029,103029,4 Eades Place,West Melbourne (Residential),House/Townhouse,1,144.9514945,-37.8064813,"(-37.8064813, 144.9514945)"
2017,318,102832,102832,365 Dryburgh Street,North Melbourne,House/Townhouse,1,144.9442174,-37.79717482,"(-37.79717482, 144.9442174)"
2017,308,101773,101773,10 Carroll Street,North Melbourne,House/Townhouse,1,144.9460175,-37.79588254,"(-37.79588254, 144.9460175)"
2017,423,105360,105360,434-436 King Street,West Melbourne (Residential),House/Townhouse,1,144.9496358,-37.80573432,"(-37.80573432, 144.9496358)"
