Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Parking type,Parking spaces,x coordinate,y coordinate,Location
2017,353,103844,103844,197 Flemington Road,North Melbourne,Private,8,144.948279,-37.7949467,"(-37.7949467, 144.948279)"
2017,557,111012,111012,42 The Crescent,Kensington,Residential,1,144.9188849,-37.79429345,"(-37.79429345, 144.9188849)"
2017,64,103187,103187,219-233 Elizabeth Street,Melbourne (CBD),Residential,50,144.9622831,-37.81321386,"(-37.81321386, 144.9622831)"
2017,541,110867,110867,46-52 McNamara Mews,Kensington,Residential,1,144.9189801,-37.79550821,"(-37.79550821, 144.9189801)"
2017,349,110963,110963,20-22 O'Shanassy Street,North Melbourne,Residential,9,144.9496114,-37.79994888,"(-37.79994888, 144.9496114)"
2017,773,637423,637423,29 South Wharf Drive,Docklands,Residential,2,144.9395709,-37.82307338,"(-37.82307338, 144.9395709)"
2017,918,106765,106765,73 Morrah Street,Parkville,Residential,1,144.9549876,-37.79574723,"(-37.79574723, 144.9549876)"
2017,32,110094,110094,99-107 William Street,Melbourne (CBD),Private,9,144.9584199,-37.81690508,"(-37.81690508, 144.9584199)"
2017,604,104856,104856,1157 Hoddle Street,East Melbourne,Residential,1,144.9903021,-37.81392968,"(-37.81392968, 144.9903021)"
2017,503,624292,109449,13 McClure Road,Kensington,Private,2,144.9303643,-37.79956857,"(-37.79956857, 144.9303643)"
2017,111,111187,105330,459 King Street,West Melbourne (Residential),Private,1,144.9521952,-37.80962374,"(-37.80962374, 144.9521952)"
2017,607,108732,108732,19-27 Simpson Street,East Melbourne,Private,4,144.9875335,-37.81587517,"(-37.81587517, 144.9875335)"
2017,559,580971,580971,8 Rourke Lane,Kensington,Residential,1,144.9172497,-37.79298956,"(-37.79298956, 144.9172497)"
2017,72,105723,105723,560-566 Lonsdale Street,Melbourne (CBD),Private,26,144.9555972,-37.81369679,"(-37.81369679, 144.9555972)"
2017,28,102057,102057,1-9 Collins Street,Melbourne (CBD),Commercial,18,144.9737201,-37.81372701,"(-37.81372701, 144.9737201)"
2017,91,105105,105105,43-53 Jeffcott Street,West Melbourne (Residential),Residential,48,144.9521073,-37.81210794,"(-37.81210794, 144.9521073)"
2017,1101,108973,108973,85-161 Spencer Street,Docklands,Private,33,144.9523393,-37.81815358,"(-37.81815358, 144.9523393)"
2017,210,107196,107196,238-240 Palmerston Street,Carlton,Residential,1,144.9671254,-37.79561379,"(-37.79561379, 144.9671254)"
2017,335,105786,105786,87 Lothian Street,North Melbourne,Residential,1,144.9445278,-37.80127039,"(-37.80127039, 144.9445278)"
2017,344,109781,109781,586-588 Victoria Street,North Melbourne,Residential,2,144.94668,-37.8045001,"(-37.8045001, 144.94668)"
2017,346,576888,576888,9 Purcell Street,North Melbourne,Residential,2,144.9490607,-37.80236693,"(-37.80236693, 144.9490607)"
2017,305,103568,103568,52 Erskine Street,North Melbourne,Residential,1,144.9434058,-37.79440036,"(-37.79440036, 144.9434058)"
2017,859,106457,106457,50-56 Marne Street,South Yarra,Residential,6,144.984507,-37.83519788,"(-37.83519788, 144.984507)"
2017,735,110637,110637,31-49 Moray Street,Southbank,Commercial,180,144.9613899,-37.82763034,"(-37.82763034, 144.9613899)"
2017,54,108108,108108,158-164 Queen Street,Melbourne (CBD),Private,86,144.9610146,-37.81453148,"(-37.81453148, 144.9610146)"
2017,356,107900,107900,439 Queensberry Street,North Melbourne,Residential,1,144.9529453,-37.80365337,"(-37.80365337, 144.9529453)"
2017,928,610493,610493,169-173 Oak Street,Parkville,Residential,5,144.9424917,-37.7778288,"(-37.7778288, 144.9424917)"
2017,95,500323,500323,19-37 A'Beckett Street,Melbourne (CBD),Residential,140,144.9626101,-37.80894099,"(-37.80894099, 144.9626101)"
2017,517,107044,107044,93 Ormond Street,Kensington,Residential,2,144.9276874,-37.79864057,"(-37.79864057, 144.9276874)"
2017,322,106293,106293,135-173 Macaulay Road,North Melbourne,Private,16,144.9405563,-37.79747143,"(-37.79747143, 144.9405563)"
2017,356,108605,108605,7 St Andrews Street,North Melbourne,Residential,1,144.9529243,-37.8042618,"(-37.8042618, 144.9529243)"
2017,331,569299,569299,6 Mawby Lane,North Melbourne,Residential,1,144.9460261,-37.80102553,"(-37.80102553, 144.9460261)"
2017,247,102664,102664,183 Drummond Street,Carlton,Residential,2,144.9677772,-37.80198529,"(-37.80198529, 144.9677772)"
2017,2510,618105,618105,28 Liddy Street,Kensington,Residential,1,144.9258483,-37.78956002,"(-37.78956002, 144.9258483)"
2017,855,109894,109894,289-291 Walsh Street,South Yarra,Private,2,144.9858851,-37.83120345,"(-37.83120345, 144.9858851)"
2017,740,559375,559375,135-149 Kings Way,Southbank,Private,143,144.9636447,-37.8279629,"(-37.8279629, 144.9636447)"
2017,301,102304,102304,44 Curran Street,North Melbourne,Residential,1,144.9431894,-37.79185197,"(-37.79185197, 144.9431894)"
2017,257,108025,108025,214-222 Queensberry Street,Carlton,Private,9,144.9615232,-37.80405382,"(-37.80405382, 144.9615232)"
2017,358,101559,101559,114-118 Capel Street,North Melbourne,Private,3,144.9555196,-37.80530739,"(-37.80530739, 144.9555196)"
2017,2505,618220,618220,15 Serong Street,Kensington,Residential,1,144.9254131,-37.78859482,"(-37.78859482, 144.9254131)"
2017,431,530926,530926,490 Spencer Street,West Melbourne (Residential),Private,5,144.9493289,-37.80876468,"(-37.80876468, 144.9493289)"
2017,789,644342,644342,81-91 Todd Road,Port Melbourne,Private,20,144.9114525,-37.83287089,"(-37.83287089, 144.9114525)"
2017,13,104002,104002,376-388 Flinders Street,Melbourne (CBD),Commercial,315,144.9615299,-37.81884626,"(-37.81884626, 144.9615299)"
2017,219,102743,102743,238 Drummond Street,Carlton,Residential,1,144.968822,-37.80051737,"(-37.80051737, 144.968822)"
2017,404,106602,106602,94 Miller Street,West Melbourne (Residential),Residential,1,144.9446027,-37.80529173,"(-37.80529173, 144.9446027)"
2017,2528,615972,615972,15-17 Eastwood Street,Kensington,Private,48,144.9301868,-37.78888049,"(-37.78888049, 144.9301868)"
2017,778,110555,110555,162-188 Turner Street,Port Melbourne,Private,45,144.9321531,-37.82497212,"(-37.82497212, 144.9321531)"
