,Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Latitude,Longitude
862,2015,65,105698,105698,269-321 Lonsdale Street,Melbourne (CBD),Chokolait,4511,Cafes and Restaurants,Seats - Indoor,65,-37.81245199, 144.9638386
863,2015,65,105698,105698,269-321 Lonsdale Street,Melbourne (CBD),Charlie & Co,4511,Cafes and Restaurants,Seats - Indoor,52,-37.81245199, 144.9638386
864,2015,65,109295,109295,257-259 Swanston Street,Melbourne (CBD),China Bar,4511,Cafes and Restaurants,Seats - Indoor,120,-37.81211394, 144.9646488
865,2015,66,105694,105694,233-237 Lonsdale Street,Melbourne (CBD),Touche Hombre,4511,Cafes and Restaurants,Seats - Indoor,80,-37.81158031, 144.9655481
866,2015,66,105694,105694,233-237 Lonsdale Street,Melbourne (CBD),Touche Hombre,4511,Cafes and Restaurants,Seats - Outdoor,20,-37.81158031, 144.9655481
867,2015,66,109389,109389,247-255 Lonsdale Street,Melbourne (CBD),Nine Taiwanese Dessert House,4511,Cafes and Restaurants,Seats - Indoor,54,-37.81169356, 144.9651047
868,2015,66,108548,108548,205-207 Russell Street,Melbourne (CBD),Sugarbun,4511,Cafes and Restaurants,Seats - Indoor,60,-37.81169847, 144.9672984
869,2015,66,108551,108551,219 Russell Street,Melbourne (CBD),Project 219,4511,Cafes and Restaurants,Seats - Indoor,55,-37.81147829, 144.9671982
870,2015,66,109390,109390,264-266 Swanston Street,Melbourne (CBD),Noodle Kingdom / GOng De Lin,4511,Cafes and Restaurants,Seats - Indoor,152,-37.81181063, 144.9651474
871,2015,76,589841,105749,221 Little Lonsdale Street,Melbourne (CBD),Movenpick Icecream,4511,Cafes and Restaurants,Seats - Outdoor,50,-37.810658, 144.9657034
872,2015,76,589841,105749,221 Little Lonsdale Street,Melbourne (CBD),Movenpick Icecream,4511,Cafes and Restaurants,Seats - Indoor,44,-37.810658, 144.9657034
873,2015,76,589841,105749,221 Little Lonsdale Street,Melbourne (CBD),Schnitz QV,4511,Cafes and Restaurants,Seats - Indoor,134,-37.810658, 144.9657034
874,2015,76,589841,105749,221 Little Lonsdale Street,Melbourne (CBD),Schnitz QV,4511,Cafes and Restaurants,Seats - Outdoor,46,-37.810658, 144.9657034
875,2015,76,589841,105749,221 Little Lonsdale Street,Melbourne (CBD),Red Spice QV,4511,Cafes and Restaurants,Seats - Indoor,481,-37.810658, 144.9657034
876,2015,74,103201,103201,291-293 Elizabeth Street,Melbourne (CBD),Oriental Spoon,4511,Cafes and Restaurants,Seats - Indoor,150,-37.81179183, 144.9617094
877,2015,74,103204,103204,301 Elizabeth Street,Melbourne (CBD),G2 Korean BBQ,4511,Cafes and Restaurants,Seats - Indoor,74,-37.81161119, 144.9616267
878,2015,74,103206,103206,307-311 Elizabeth Street,Melbourne (CBD),Pepper Lunch,4511,Cafes and Restaurants,Seats - Indoor,68,-37.81146864, 144.9615613
879,2015,74,105739,105739,386-392 Lonsdale Street,Melbourne (CBD),Zambrero,4511,Cafes and Restaurants,Seats - Indoor,22,-37.81236842, 144.9607949
880,2015,84,104563,104563,20-24 Guildford Lane,Melbourne (CBD),Krimper,4511,Cafes and Restaurants,Seats - Indoor,90,-37.81115719, 144.9601274
881,2015,74,108097,108097,254-258 Queen Street,Melbourne (CBD),Red Cliff Chinese Restaurant,4511,Cafes and Restaurants,Seats - Indoor,78,-37.81247811, 144.9599448
882,2015,74,108097,108097,254-258 Queen Street,Melbourne (CBD),Red Cliff Chinese Restaurant,4511,Cafes and Restaurants,Seats - Outdoor,7,-37.81247811, 144.9599448
883,2015,84,650593,106044,2-20 Sutherland Street,Melbourne (CBD),China Spice,4511,Cafes and Restaurants,Seats - Indoor,90,-37.81131629, 144.9609484
884,2015,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Don Don Japanese Restaurant,4511,Cafes and Restaurants,Seats - Indoor,95,-37.81073331, 144.9630189
885,2015,84,110968,110968,306-320 Little Lonsdale Street,Melbourne (CBD),Paperboy Kitchen,4511,Cafes and Restaurants,Seats - Indoor,18,-37.81158232, 144.9602803
886,2015,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Frozen by a Thousand Blessings,4511,Cafes and Restaurants,Seats - Indoor,8,-37.81073331, 144.9630189
887,2015,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Frozen by a Thousand Blessings,4511,Cafes and Restaurants,Seats - Outdoor,21,-37.81073331, 144.9630189
888,2015,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),TGI Fridays Restarant & Bar,4511,Cafes and Restaurants,Seats - Indoor,330,-37.81073331, 144.9630189
889,2015,85,106009,106009,277-279 Little Lonsdale Street,Melbourne (CBD),2Pocket Fairtrade,4511,Cafes and Restaurants,Seats - Indoor,40,-37.81089948, 144.9637037
890,2015,85,109302,109302,281-287 Swanston Street,Melbourne (CBD),Bornga,4511,Cafes and Restaurants,Seats - Indoor,70,-37.81143223, 144.9643593
891,2015,85,109303,109303,289-299 Swanston Street,Melbourne (CBD),Guzman Y Gomez,4511,Cafes and Restaurants,Seats - Indoor,86,-37.8112271, 144.9642637
892,2015,85,109303,109303,289-299 Swanston Street,Melbourne (CBD),Guzman Y Gomez,4511,Cafes and Restaurants,Seats - Outdoor,24,-37.8112271, 144.9642637
893,2015,84,650593,106044,2-20 Sutherland Street,Melbourne (CBD),Raw Trader,4511,Cafes and Restaurants,Seats - Indoor,19,-37.81131629, 144.9609484
894,2015,85,105747,105747,272-282 Lonsdale Street,Melbourne (CBD),Sakura Sushi Train,4511,Cafes and Restaurants,Seats - Indoor,25,-37.81152964, 144.9639969
895,2015,56,101202,101202,206-218 Bourke Street,Melbourne (CBD),China Chilli,4511,Cafes and Restaurants,Seats - Indoor,180,-37.81259409, 144.9668768
896,2015,56,101204,101204,194-200 Bourke Street,Melbourne (CBD),Sushi Hotaru,4511,Cafes and Restaurants,Seats - Indoor,46,-37.8124312, 144.9672768
897,2015,56,101203,101203,202-204 Bourke Street,Melbourne (CBD),Flavour Town Hot Pot,4511,Cafes and Restaurants,Seats - Indoor,96,-37.81265943, 144.967177
898,2015,45,101141,101141,299-307 Bourke Street,Melbourne (CBD),Sensory Lab,4511,Cafes and Restaurants,Seats - Indoor,29,-37.81436987, 144.9648958
899,2015,45,101141,101141,299-307 Bourke Street,Melbourne (CBD),Sensory Lab,4511,Cafes and Restaurants,Seats - Outdoor,8,-37.81436987, 144.9648958
900,2015,84,103207,103207,315-321 Elizabeth Street,Melbourne (CBD),Afghan Valley Restaurant,4511,Cafes and Restaurants,Seats - Indoor,135,-37.81124935, 144.9614724
901,2015,74,106014,106014,361-365 Little Lonsdale Street,Melbourne (CBD),1000 Pound Bend,4511,Cafes and Restaurants,Seats - Indoor,100,-37.81166967, 144.9612845
902,2015,44,106373,106373,21-27 McKillop Street,Melbourne (CBD),Red Spice Road,4511,Cafes and Restaurants,Seats - Indoor,200,-37.8152325, 144.9614687
903,2015,44,106373,106373,21-27 McKillop Street,Melbourne (CBD),Red Spice Road,4511,Cafes and Restaurants,Seats - Outdoor,12,-37.8152325, 144.9614687
904,2015,65,109293,109293,251-253 Swanston Street,Melbourne (CBD),Melbourne Vietnam Noodle House,4511,Cafes and Restaurants,Seats - Indoor,125,-37.81221437, 144.9646962
905,2015,56,101202,101202,206-218 Bourke Street,Melbourne (CBD),Jalan Alor,4511,Cafes and Restaurants,Seats - Indoor,60,-37.81259409, 144.9668768
906,2015,55,109284,109284,191-205 Swanston Street,Melbourne (CBD),Soul Cafe,4511,Cafes and Restaurants,Seats - Indoor,42,-37.81309229, 144.9649993
907,2015,55,109284,109284,191-205 Swanston Street,Melbourne (CBD),Soul Cafe,4511,Cafes and Restaurants,Seats - Outdoor,30,-37.81309229, 144.9649993
908,2015,66,109951,109951,3-5 Waratah Place,Melbourne (CBD),Kum Den Restaurant,4511,Cafes and Restaurants,Seats - Indoor,105,-37.81172075, 144.9670449
909,2015,24,110764,110764,310 Flinders Lane,Melbourne (CBD),Hako,4511,Cafes and Restaurants,Seats - Indoor,65,-37.81726468, 144.9636828
910,2015,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),D Food Connection,4511,Cafes and Restaurants,Seats - Indoor,70,-37.81073331, 144.9630189
911,2015,55,105840,105840,265-279 Little Bourke Street,Melbourne (CBD),The Louden Kitchen & Grill,4511,Cafes and Restaurants,Seats - Indoor,180,-37.81288667, 144.9646469
912,2015,15,103327,103327,28-32 Elizabeth Street,Melbourne (CBD),KFC,4511,Cafes and Restaurants,Seats - Indoor,48,-37.81729894, 144.9648816
913,2015,55,101194,101194,314-336 Bourke Street,Melbourne (CBD),Brunetti Myer Melbourne,4511,Cafes and Restaurants,Seats - Indoor,99,-37.81344503, 144.9638295
914,2015,84,108093,108093,330-344 Little Lonsdale Street,Melbourne (CBD),Don Too,4511,Cafes and Restaurants,Seats - Indoor,50,-37.81181165, 144.9596748
915,2015,56,101204,101204,194-200 Bourke Street,Melbourne (CBD),Pancake Dessert House,4511,Cafes and Restaurants,Seats - Indoor,54,-37.8124312, 144.9672768
916,2015,56,101202,101202,206-218 Bourke Street,Melbourne (CBD),Shanghai Dynasty Restaurant,4511,Cafes and Restaurants,Seats - Indoor,300,-37.81259409, 144.9668768
917,2015,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Oriental Tea House,4511,Cafes and Restaurants,Seats - Indoor,180,-37.81073331, 144.9630189
918,2015,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Oriental Tea House,4511,Cafes and Restaurants,Seats - Outdoor,18,-37.81073331, 144.9630189
919,2015,15,109258,109258,9-11 Swanston Street,Melbourne (CBD),McDonalds,4511,Cafes and Restaurants,Seats - Indoor,180,-37.81723918, 144.9669316
920,2015,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Cupcake Central ,4511,Cafes and Restaurants,Seats - Indoor,20,-37.81073331, 144.9630189
921,2015,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Mad Mex,4511,Cafes and Restaurants,Seats - Indoor,25,-37.81073331, 144.9630189
922,2015,16,104017,104017,194-196 Flinders Street,Melbourne (CBD),Careers Cafe,4511,Cafes and Restaurants,Seats - Indoor,40,-37.81673488, 144.9681433
923,2015,86,109388,109388,304-328 Swanston Street,Melbourne (CBD),The Moat Bar & Cafe,4511,Cafes and Restaurants,Seats - Indoor,40,-37.80976881, 144.965306
924,2015,86,109388,109388,304-328 Swanston Street,Melbourne (CBD),The Moat Bar & Cafe,4511,Cafes and Restaurants,Seats - Outdoor,50,-37.80976881, 144.965306
925,2015,15,103943,103943,267-275 Flinders Lane,Melbourne (CBD),Xpressomondo,4511,Cafes and Restaurants,Seats - Indoor,22,-37.81710105, 144.9654844
926,2015,15,103943,103943,267-275 Flinders Lane,Melbourne (CBD),Xpressomondo,4511,Cafes and Restaurants,Seats - Outdoor,18,-37.81710105, 144.9654844
927,2015,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Gloria Jeans,4511,Cafes and Restaurants,Seats - Indoor,20,-37.81073331, 144.9630189
