MeterId,AssetId,Barcode,CreditCard,TapAndGo,MeterType,StreetName,Longitude,Latitude,Location
213TA,1630320,MPM1630320,YES,NO,Reino TX-P,St Kilda Road,144.98024002308054,-37.84830494941705,"(-37.848304949417, 144.980240023081)"
575A,1647591,MPM1647591,YES,YES,Cale CWT-C Touch,King Street,144.95306640149067,-37.81094585054689,"(-37.810945850547, 144.953066401491)"
509A,1647592,MPM1647592,YES,YES,Cale CWT-C Touch,Exhibition Street,144.97145153217699,-37.813679457738914,"(-37.813679457739, 144.971451532177)"
670A,1647593,MPM1647593,YES,YES,Cale CWT-C Touch,La Trobe Street,144.96250723987504,-37.81009999998877,"(-37.810099999989, 144.962507239875)"
670B,1647598,MPM1647598,YES,YES,Cale CWT-C Touch,La Trobe Street,144.96243626599622,-37.8098885905418,"(-37.809888590542, 144.962436265996)"
161A,1647024,MPM1647024,YES,YES,Reino TVX,Nicholson Street,144.9740585917084,-37.80196648129943,"(-37.801966481299, 144.974058591708)"
161B,1647025,MPM1647025,YES,YES,Reino TVX,Nicholson Street,144.97393329697823,-37.802719468570515,"(-37.802719468571, 144.973933296978)"
ZOOT21,1629566,MPM1629566,YES,YES,Cale CWT-C,Elliott Avenue,144.952369901445,-37.786185390805464,"(-37.786185390805, 144.952369901445)"
ZOOT23,1629570,MPM1629570,YES,YES,Cale CWT-C,Elliott Avenue,144.95059205196284,-37.78743227513849,"(-37.787432275138, 144.950592051963)"
205C,1647790,MPM1647790,YES,YES,Reino TTX-S,The Avenue,144.9571985560988,-37.782450594534204,"(-37.782450594534, 144.957198556099)"
698A,1647594,MPM1647594,YES,YES,Cale CWT-C Touch,Victoria Street,144.95885964474692,-37.805960844981776,"(-37.805960844982, 144.958859644747)"
662A,1647599,MPM1647599,YES,YES,Cale CWT-C Touch,Little Lonsdale Street,144.95978434461463,-37.811850050464095,"(-37.811850050464, 144.959784344615)"
ZOOT4,1629535,MPM1629535,YES,YES,Cale CWT-C,Poplar Road,144.95089162579262,-37.78148058330753,"(-37.781480583308, 144.950891625793)"
ZOOT11,1630110,MPM1630110,YES,YES,Cale CWT-P,Poplar Road,144.95492887856068,-37.783792975625495,"(-37.783792975625, 144.954928878561)"
ZOOT3,1629569,MPM1629569,YES,YES,Cale CWT-C,Poplar Road,144.95041356766916,-37.78170386814547,"(-37.781703868145, 144.950413567669)"
ZOOT1,1629572,MPM1629572,YES,YES,Cale CWT-C,Poplar Road,144.9499306962684,-37.781986184516896,"(-37.781986184517, 144.949930696268)"
159A,1630378,MPM1630378,YES,YES,Reino TTX-S,The Avenue,144.9577343539372,-37.7914989521323,"(-37.791498952132, 144.957734353937)"
101TF,1631147,MPM1631147,YES,YES,Reino TTX,Princes Park Drive,144.9628556720403,-37.78751279672607,"(-37.787512796726, 144.96285567204)"
ZOOT14,1629564,MPM1629564,YES,YES,Cale CWT-C,Poplar Road,144.9552016716433,-37.784034181290494,"(-37.78403418129, 144.955201671643)"
ZOOT19,1629565,MPM1629565,YES,YES,Cale CWT-C,Elliott Avenue,144.9522154320039,-37.78649532379961,"(-37.7864953238, 144.952215432004)"
ZOOT15,1629567,MPM1629567,YES,YES,Cale CWT-C,Elliott Avenue,144.95438507004135,-37.78504995816751,"(-37.785049958168, 144.954385070041)"
ZOOT16,1629575,MPM1629575,YES,YES,Cale CWT-C,Elliott Avenue,144.9549910499474,-37.78457753989654,"(-37.784577539897, 144.954991049947)"
ZOOT20,1630435,MPM1630435,YES,YES,Cale CWT-C,Elliott Avenue,144.952732246691,-37.78610301395252,"(-37.786103013953, 144.952732246691)"
PE1,1620113,MPM1620113,YES,NO,Reino VX1,Parliament Place,144.97558691426718,-37.81111024054537,"(-37.811110240545, 144.975586914267)"
297B,1647055,MPM1647055,YES,YES,Reino TVX,Cardigan Street,144.9650096864368,-37.80394057127239,"(-37.803940571272, 144.965009686437)"
ZOOT5,1629556,MPM1629556,YES,YES,Cale CWT-C,Poplar Road,144.9522183191314,-37.7818904429272,"(-37.781890442927, 144.952218319131)"
711A,1647346,MPM1647346,YES,YES,Cale CWT-C Touch,City Road,144.9594887780133,-37.826328986642444,"(-37.826328986642, 144.959488778013)"
711B,1647347,MPM1647347,YES,YES,Cale CWT-C Touch,City Road,144.95967576217652,-37.82643005860456,"(-37.826430058605, 144.959675762177)"
516A,1647332,MPM1647332,YES,YES,Cale CWT-C Touch,Russell Street,144.96963363539862,-37.81645382168683,"(-37.816453821687, 144.969633635399)"
539A,1647339,MPM1647339,YES,YES,Cale CWT-C Touch,Queen Street,144.9621530596515,-37.818486096567646,"(-37.818486096568, 144.962153059652)"
539B,1647340,MPM1647340,YES,YES,Cale CWT-C Touch,Queen Street,144.96228736630846,-37.81813636791829,"(-37.818136367918, 144.962287366308)"
709A,1647343,MPM1647343,YES,YES,Cale CWT-C Touch,City Road,144.9606374646845,-37.82532824680308,"(-37.825328246803, 144.960637464685)"
709B,1647344,MPM1647344,YES,YES,Cale CWT-C Touch,City Road,144.9616386427853,-37.82476309245853,"(-37.824763092459, 144.961638642785)"
709C,1647345,MPM1647345,YES,YES,Cale CWT-C Touch,City Road,144.96156250477756,-37.82454288806336,"(-37.824542888063, 144.961562504778)"
731A,1647348,MPM1647348,YES,YES,Cale CWT-C Touch,Haig Street,144.9582192029688,-37.82625248235267,"(-37.826252482353, 144.958219202969)"
683C,1647435,MPM1647435,YES,YES,Cale CWT-C Touch,Franklin Street,144.95847482222834,-37.808844642228294,"(-37.808844642228, 144.958474822228)"
712B,1647579,MPM1647579,YES,YES,Cale CWT-C Touch,City Road,144.95872223336343,-37.8269856132651,"(-37.826985613265, 144.958722233363)"
GSE1,1647792,MPM1647792,YES,YES,Reino TTX-S,Georgiana Street,144.9504345653076,-37.821535137479465,"(-37.821535137479, 144.950434565308)"
672A,1647412,MPM1647412,YES,YES,Cale CWT-C Touch,La Trobe Street,144.9574710426091,-37.811569755691046,"(-37.811569755691, 144.957471042609)"
672B,1647413,MPM1647413,YES,YES,Cale CWT-C Touch,La Trobe Street,144.9579619635987,-37.81119892950512,"(-37.811198929505, 144.957961963599)"
310B,1645297,MPM1645297,YES,YES,Reino TVX,Queensberry Street,144.96070067532307,-37.804175429318974,"(-37.804175429319, 144.960700675323)"
542A,1647573,MPM1647573,YES,YES,Cale CWT-C Touch,Queen Street,144.96104707175644,-37.81543483745298,"(-37.815434837453, 144.961047071756)"
542B,1647574,MPM1647574,YES,YES,Cale CWT-C Touch,Queen Street,144.9611341453301,-37.81562221264769,"(-37.815622212648, 144.96113414533)"
623C,1647476,MPM1647476,YES,YES,Cale CWT-C Touch,Collins Street,144.95860555497015,-37.817891969232264,"(-37.817891969232, 144.95860555497)"
650A,1647333,MPM1647333,YES,YES,Cale CWT-C Touch,Lonsdale Street,144.9704139104487,-37.809781126351055,"(-37.809781126351, 144.970413910449)"
