hourly_counts,sensor_id,time,latitude,longitude
414,8,16,-37.82293543,144.94717509999998
652,8,17,-37.82293543,144.94717509999998
941,101,10,-37.817771,144.957951
995,101,11,-37.817771,144.957951
1536,101,12,-37.817771,144.957951
1433,101,13,-37.817771,144.957951
1111,101,14,-37.817771,144.957951
1244,101,15,-37.817771,144.957951
1732,101,16,-37.817771,144.957951
2044,101,17,-37.817771,144.957951
454,102,10,-37.81447,144.96197
505,102,11,-37.81447,144.96197
858,102,12,-37.81447,144.96197
930,102,13,-37.81447,144.96197
691,102,14,-37.81447,144.96197
602,102,15,-37.81447,144.96197
629,102,16,-37.81447,144.96197
801,102,17,-37.81447,144.96197
577,13,10,-37.812397,144.956526
717,13,11,-37.812397,144.956526
1112,13,12,-37.812397,144.956526
1191,13,13,-37.812397,144.956526
959,13,14,-37.812397,144.956526
899,13,15,-37.812397,144.956526
959,13,16,-37.812397,144.956526
1155,13,17,-37.812397,144.956526
525,103,10,-37.810978999999996,144.958897
645,103,11,-37.810978999999996,144.958897
970,103,12,-37.810978999999996,144.958897
983,103,13,-37.810978999999996,144.958897
721,103,14,-37.810978999999996,144.958897
635,103,15,-37.810978999999996,144.958897
638,103,16,-37.810978999999996,144.958897
737,103,17,-37.810978999999996,144.958897
555,104,10,-37.8155,144.97005
581,104,11,-37.8155,144.97005
1105,104,12,-37.8155,144.97005
1030,104,13,-37.8155,144.97005
608,104,14,-37.8155,144.97005
540,104,15,-37.8155,144.97005
725,104,16,-37.8155,144.97005
950,104,17,-37.8155,144.97005
389,105,10,-37.808234000000006,144.968757
493,105,11,-37.808234000000006,144.968757
876,105,12,-37.808234000000006,144.968757
850,105,13,-37.808234000000006,144.968757
592,105,14,-37.808234000000006,144.968757
549,105,15,-37.808234000000006,144.968757
547,105,16,-37.808234000000006,144.968757
707,105,17,-37.808234000000006,144.968757
926,106,10,-37.813190000000006,144.95174
948,106,11,-37.813190000000006,144.95174
1627,106,12,-37.813190000000006,144.95174
1563,106,13,-37.813190000000006,144.95174
1102,106,14,-37.813190000000006,144.95174
1161,106,15,-37.813190000000006,144.95174
1720,106,16,-37.813190000000006,144.95174
