Street address,Trading name,Number of seats,Longitude,Latitude,Type
151-165 Franklin Street,Andrews Hamburger,36,144.9595755,-37.80904835,Cafe
44-50 Errol Street,Reynoldo's,24,144.9500439,-37.80411038,Cafe
242-284 Exhibition Street,Barista Cafe,52,144.9699756,-37.80941489,Cafe
319-323 Rathdowne Street,East Imperial,100,144.969881,-37.79918387,Cafe
788-812 Bourke Street,Rhumba's At Nab,38,144.9451224,-37.81888389,Cafe
183-265 La Trobe Street,The Pancake Parlour,160,144.9630189,-37.81073331,Cafe
177-183 Lygon Street,Cafe Notturno,48,144.9664967,-37.80144374,Cafe
487-503 Collins Street,Eclipse Coffee,14,144.9581185,-37.81853877,Cafe
255-259 Queensberry Street,Red Capsicum,12,144.9600381,-37.8044181,Cafe
221 Little Lonsdale Street,Max Brenner Chocolates,36,144.9657034,-37.810658,Cafe
128-130 Lygon Street,Da Guido,14,144.9666832,-37.80403393,Cafe
191-205 Swanston Street,Soul Cafe,42,144.9649993,-37.81309229,Cafe
469-477 La Trobe Street,Frescatis Fine Foods,40,144.9552995,-37.81251859,Cafe
349-351 Victoria Street,Katmandu Cottage,60,144.9497885,-37.80539346,Cafe
550 Bourke Street,Tadka Boom,38,144.9573923,-37.81531863,Cafe
302-308 Flinders Lane,Yum Yum Dumplings,70,144.9638971,-37.81719967,Cafe
268-276 Victoria Street,Donwoori,36,144.9573902,-37.80580455,Cafe
228-236 Flinders Street,Jolly J's,6,144.9665517,-37.81724878,Cafe
314-336 Bourke Street,Brunetti Myer Melbourne,99,144.9638295,-37.81344503,Cafe
16-22 Liverpool Street,Ruyi,45,144.9715514,-37.81106615,Cafe
18-22 Flemington Road,Isabella ,80,144.9550404,-37.79885182,Cafe
172-174 Faraday Street,The Carlton Wine Room,20,144.9685856,-37.79858383,Cafe
329 Lygon Street,Heartattack and Vine,35,144.9671482,-37.7976433,Cafe
51-53 A'Beckett Street,Darac Grill & Bar,44,144.9620743,-37.8090975,Cafe
191 Lygon Street,Leyalina,16,144.9664967,-37.80114228,Cafe
130-134 Little Collins Street,Famish'd,40,144.9693812,-37.81330421,Cafe
512 Macaulay Road,Bean Buzz Cafe,6,144.9291382,-37.79407422,Cafe
459-475 Little Bourke Street,Alibi Kitchen & Bar,80,144.9590443,-37.81456798,Cafe
163-261 Spencer Street,Coffee Rush,16,144.951187,-37.81501701,Cafe
120-122 Little Bourke Street,Empress of China,100,144.9689085,-37.81131622,Cafe
23-37 Cardigan Street,Coffee On Cardigan,68,144.9639545,-37.80592639,Cafe
359-373 Collins Street,The Overdraft Cafe,38,144.9624418,-37.81728432,Cafe
337-343 Lygon Street,Intersection Cafe,6,144.9672287,-37.79734681,Cafe
318 William Street,The Mint Bar & Restaurant,48,144.9573609,-37.81209045,Cafe
212-224 King Street,Delhi Rocks,10,144.9553894,-37.81500707,Cafe
192-194 Bellair Street,Spinifex Cafe,32,144.9300585,-37.79405204,Cafe
254-258 Queen Street,Red Cliff Chinese Restaurant,2,144.9599448,-37.81247811,Cafe
176 Bellair Street,White Rabbit Record Bar,25,144.9299348,-37.7936563,Cafe
230 Grattan Street,Shanti Bhagwan Cafe,25,144.9612468,-37.79739836,Cafe
550 Lonsdale Street,Jang Gun Restuarant,48,144.9560169,-37.8134766,Cafe
48-50 Flemington Road,Subway,20,144.9501914,-37.79382016,Cafe
176-178 Faraday Street,Market Lane Coffee,2,144.9684894,-37.79857335,Cafe
517-537 Flinders Lane,Mr Huang Jin,31,144.9566017,-37.81988484,Cafe
235-251 Bourke Street,Momo Station,28,144.9665978,-37.81376503,Cafe
353-355 Flinders Lane,Cafe Del Corso,53,144.9627445,-37.81786011,Cafe
18-20 Bank Place,Curry Vault ,6,144.9605225,-37.81642893,Cafe
52 Morrah Street,Parkville Store,30,144.9556719,-37.79525038,Cafe
556-558 Lonsdale Street,Nick's Spaghetti Bar,100,144.9557716,-37.81386782,Cafe
706-738 Bourke Street,Salud Espresso Bar,35,144.9490176,-37.81792089,Cafe
545-557 Flinders Street,Tokyo Maki,44,144.9565185,-37.82099397,Cafe
380 Elizabeth Street,Nando's ,18,144.9614913,-37.80985709,Cafe
788-812 Bourke Street,Sushi Wang,45,144.9451224,-37.81888389,Cafe
535 Bourke Street,Sake Jr,120,144.9578132,-37.81636534,Cafe
331-335 Lygon Street,Jimmy Watsons ,120,144.9671779,-37.7975082,Cafe
330-332 Cardigan Street,Le Miel Et Le Lune,35,144.9663778,-37.79685803,Cafe
694-704 Collins Street,St. Brew,40,144.9508705,-37.81949297,Cafe
172-174 Faraday Street,The Carlton Wine Room,126,144.9685856,-37.79858383,Cafe
180 Rathdowne Street,Osc&r On Rathdowne ,30,144.9711917,-37.79514419,Cafe
43 Epsom Road,Local Folk Cafe,60,144.9256097,-37.79223674,Cafe
500-514 Collins Street,O-Bento,75,144.9574732,-37.81753383,Cafe
271-285 Collins Street,Lindt Chocolat Cafe,38,144.9649331,-37.81662781,Cafe
20-26 Coromandel Place,Oli Levi,20,144.9692543,-37.81302823,Cafe
178-188 William Street,Berto's Bar,50,144.9580871,-37.81476776,Cafe
535 Little Lonsdale Street,Mr Nice Guy,10,144.9560169,-37.8134766,Cafe
437-439 Elizabeth Street,Menya Ramen,94,144.9602369,-37.80880991,Cafe
52-62 Cade Way,Corner Cafe & Convenience Store,6,144.9391831,-37.77625457,Cafe
425-427 Docklands Drive,Aria Bar & Events,480,144.9390269,-37.81517782,Cafe
135-137 Lygon Street,Universal Pizza,30,144.966075,-37.80391066,Cafe
76 Wellington Parade,Hard Pressed,6,144.987555,-37.81637751,Cafe
269-321 Lonsdale Street,Toyko Pop,60,144.9638386,-37.81245199,Cafe
221 Little Lonsdale Street,Chocolateria San Churro QV,60,144.9657034,-37.810658,Cafe
415-421 St Kilda Road,Aromatic Espresso,24,144.9770428,-37.83774553,Cafe
304-306 Little Collins Street,Laurent Boulangerie Patisserie,80,144.9643486,-37.81473293,Cafe
408-412 Bourke Street,Corner & Bench,32,144.961492,-37.81443611,Cafe
163-261 Spencer Street,Hungry Jacks,52,144.951187,-37.81501701,Cafe
562-566 Little Bourke Street,Melbourne Hwaro Korean BBQ Restaurant,72,144.9556694,-37.81501703,Cafe
433-435 Elizabeth Street,Rose Garden Barbecue Shop,32,144.9603439,-37.80885861,Cafe
107-111 Lonsdale Street,Pomodoro Sardo,76,144.9691194,-37.81053336,Cafe
214-222 Clarendon Street,Square & Compass,64,144.9841154,-37.80970632,Cafe
27-31 Hardware Lane,Big Boy BBQ,40,144.9612664,-37.81398752,Cafe
486-492 Bourke Street,Cafe Euro Food & Wine Bar,30,144.9591969,-37.81499761,Cafe
189 Collins Street,Box On Collins Restaurant,80,144.9677066,-37.81546677,Cafe
330-352 William Street,Brother Thomas Coffee,45,144.9565783,-37.81124428,Cafe
323 Lygon Street,Milk The Cow,80,144.9671258,-37.79777439,Cafe
181 William Street,Roll'D Vietnamese Kitchen ,30,144.9573923,-37.81531863,Cafe
733-747 Collins Street,Mr Collins,35,144.9494345,-37.82089145,Cafe
181 William Street,Sakae,20,144.9573923,-37.81531863,Cafe
24-30 Russell Street,Lucy Liu's Kitchen & Bar,100,144.9698948,-37.81599798,Cafe
369-379 King Street,Ssarim's Cafe,18,144.9532514,-37.81166257,Cafe
220 Spencer Street,Pho 24,90,144.9535531,-37.8153588,Cafe
210 Queensberry Street,The Queensberry Pour House,2,144.9620274,-37.80421363,Cafe
258-260 Flinders Lane,Cafe Vicolino,16,144.9654744,-37.81664468,Cafe
550 Lonsdale Street,Suda,8,144.9560169,-37.8134766,Cafe
81 Errol Street,Snax Deli,36,144.9492871,-37.80323404,Cafe
183-265 La Trobe Street,Equinox Bar Restaurant,70,144.9630189,-37.81073331,Cafe
252-254 Flinders Lane,Cafe Issus,12,144.9655966,-37.8166033,Cafe
317-321 Little Collins Street,Caffe E Biscotti,60,144.9642254,-37.81528948,Cafe
525-539 Lonsdale Street,Cafe Dominoes,30,144.9566434,-37.81427826,Cafe
194-206 Harbour Esplanade,Cafe 198,8,144.9449612,-37.81396231,Cafe
147 Lygon Street,The Dessert Box,18,144.9661056,-37.80373308,Cafe
829-843 Bourke Street,Merchant Society,70,144.9434599,-37.82044558,Cafe
191-205 Swanston Street,Soul Cafe,30,144.9649993,-37.81309229,Cafe
1-9 Freshwater Place,Blossom Espresso ,28,144.962154,-37.82167834,Cafe
151 Lygon Street,Tank Fish And Chippery ,20,144.9661179,-37.80366248,Cafe
114-128 William Street,Tempo Bar & Cafe,20,144.9589224,-37.81630648,Cafe
170-176 Wellington Parade,Da Bruno Ristorante Pizza,72,144.9843025,-37.81583642,Cafe
494-512 Bourke Street,Earl Canteen,6,144.9587607,-37.81494883,Cafe
788-812 Bourke Street,Rhumba's At Nab,36,144.9451224,-37.81888389,Cafe
121 Exhibition Street,Dumpling King,32,144.9701092,-37.81281453,Cafe
189 Lygon Street,Buenos Aires Steakhouse,45,144.966488,-37.8011904,Cafe
86-88 Collins Street,Doc Martins,12,144.9705847,-37.81393777,Cafe
242 Swanston Street,Ghin Khao,12,144.9653591,-37.81218452,Cafe
1 Phillip Court,Black Jack Cafe,32,144.920988,-37.82600955,Cafe
2-20 Sutherland Street,CNK Korean Cuisine,80,144.9609484,-37.81131629,Cafe
818-838 Collins Street,Chia Chia,44,144.9450469,-37.82100111,Cafe
309 Exhibition Street,65 Degrees ,8,144.9687244,-37.80874125,Cafe
469-477 La Trobe Street,Frescatis Fine Foods,90,144.9552995,-37.81251859,Cafe
177-183 Lygon Street,Cafe Notturno,100,144.9664967,-37.80144374,Cafe
435-443 Little Collins Street,Syracuse Restaurant - Bar ,80,144.9600859,-37.81638558,Cafe
269-321 Lonsdale Street,Ramen Ya,59,144.9638386,-37.81245199,Cafe
8 Whiteman Street,The Atlantic/The Den /The Oyster Bar & Grill/ Fish & Chippery by The Atlantic,100,144.9586604,-37.82312164,Cafe
127-133 Leicester Street,Bar Scopa ,14,144.9602088,-37.80290295,Cafe
458-468 Lonsdale Street,The Firm Espresso Bar,32,144.9583529,-37.8130525,Cafe
243-263 Franklin Street,Francis Food & Coffee,28,144.9566627,-37.80967009,Cafe
200-222 Queen Street,Goodovening,30,144.9604697,-37.81352285,Cafe
612-624 Collins Street,Choix Creperie Cafe,16,144.9543505,-37.81867544,Cafe
2 Swanston Street,Chocolate Buddha,180,144.9699175,-37.81784465,Cafe
317-321 Little Collins Street,Dinkum Pies,24,144.9642254,-37.81528948,Cafe
731-735 Bourke Street,Platform 28,90,144.9498213,-37.81921015,Cafe
174-192 Exhibition Street,Locanda Italian Steakhouse,34,144.9706454,-37.81121462,Cafe
744-770 Bourke Street,De Gusto,34,144.947217,-37.81817241,Cafe
507-523 Elizabeth Street,Coffea Coffee,26,144.9572395,-37.80745984,Cafe
246-252 Lygon Street,Villa Romana,200,144.9673242,-37.80137656,Cafe
410-420 Elizabeth Street,Nene Chicken (Elizabeth St),30,144.9611573,-37.80894909,Cafe
139-141 Swanston Street,Gopal's Vegetarian Restaurant,80,144.9657351,-37.8144111,Cafe
52 Morrah Street,Parkville Store,8,144.9556719,-37.79525038,Cafe
263-329 Lorimer Street,Ocean View Cafe Port Melbourne,50,144.9052161,-37.82483593,Cafe
72-74 Bourke Street,Bottega Restaurant,130,144.9710074,-37.81168307,Cafe
8 Whiteman Street,Koko,64,144.9586604,-37.82312164,Cafe
380-384 Little Bourke Street,Kirk's Wine Bar,34,144.9613283,-37.81354346,Cafe
123-129 Howard Street,Ample Cafe Bar,55,144.9536961,-37.80409478,Cafe
239-241 Swanston Street,Mekong Vietnam,50,144.9647784,-37.81239263,Cafe
393-397 Little Bourke Street,Triim,50,144.9612043,-37.8138513,Cafe
303-305 Elizabeth Street,Old Town White Cafe,100,144.9615988,-37.81155119,Cafe
11-41 Melrose Street,Pocket Cafe,12,144.9414027,-37.79501722,Cafe
407B-407D St Kilda Road,Cafe Rosco,24,144.9762096,-37.836275,Cafe
517 St Kilda Road,Ai Sushi ,28,144.9793123,-37.84459479,Cafe
43 Little Bourke Street,SPQR Pizzeria,40,144.971363,-37.81092017,Cafe
235-251 Bourke Street,Warra Warra,20,144.9665978,-37.81376503,Cafe
351-357 Collins Street,Crema,42,144.9627888,-37.81722704,Cafe
28 Freshwater Place,Boccata,40,144.9622689,-37.82266873,Cafe
221 Little Lonsdale Street,Movenpick Icecream,50,144.9657034,-37.810658,Cafe
427-431 St Kilda Road,Japan Inn Gourmet Sushi,16,144.9771931,-37.83854242,Cafe
58-66 La Trobe Street,Shanghai Street / Momo Tea,40,144.9669433,-37.80829662,Cafe
297-307 Victoria Street,Warung Agus,60,144.9513664,-37.80562951,Cafe
212 Berkeley Street,Haymarket Place,47,144.9589985,-37.80052523,Cafe
1 Riverside Quay,The Bond Store Cafe,60,144.9638744,-37.82193589,Cafe
559-587 Collins Street,Black Rice,44,144.9557275,-37.81902044,Cafe
18-24 Dorcas Street,Humbaba,30,144.9695681,-37.83002436,Cafe
247-255 Lonsdale Street,Nine Taiwanese Dessert House,54,144.9651047,-37.81169356,Cafe
655-657 Spencer Street,Cafe 6six 5fifty 5five,27,144.9449051,-37.80643136,Cafe
184-192 Collins Street,Bistrot D'Orsay,12,144.9672778,-37.81485585,Cafe
160-162 Rathdowne Street,Calrton Pizzeria Bar and Restaurant,20,144.9711231,-37.79553609,Cafe
300-308 Victoria Street,La Porchetta,200,144.9563791,-37.80569684,Cafe
401-403 Collins Street,Morgans at 401,80,144.9612229,-37.81739636,Cafe
207-213 Queen Street,Sool Tong,6,144.9599073,-37.81386746,Cafe
225-229 Lygon Street,Cafe Corretto,60,144.966741,-37.80004558,Cafe
119-121 Howard Street,Code Black Howard Street,70,144.9536735,-37.80422555,Cafe
357 Victoria Street,Smile Thai Restaurant,30,144.949623,-37.80538734,Cafe
3 Southgate Avenue,Tutto Bene,100,144.9662623,-37.82066923,Cafe
790-814 Collins Street,Paper Chase,120,144.9458305,-37.821044,Cafe
28-38 Queen Street,Cafe 34,16,144.9624375,-37.81798973,Cafe
307-311 Elizabeth Street,Pepper Lunch,68,144.9615613,-37.81146864,Cafe
189-203 William Street,Ba Noi,78,144.9570408,-37.8146364,Cafe
115-123 Hardware Street,White Mojo,45,144.9603936,-37.81210735,Cafe
196-212 Little Collins Street,Hairy Canary,70,144.9671568,-37.81384227,Cafe
370-372 Victoria Street,Pho Victoria,28,144.9539606,-37.80542264,Cafe
744-770 Bourke Street,Nawabs Palace,16,144.947217,-37.81817241,Cafe
1 Phillip Court,Degani Bakery Cafe,34,144.920988,-37.82600955,Cafe
147 Lygon Street,The Dessert Box,18,144.9661056,-37.80373308,Cafe
541-543 St Kilda Road,J&K  Cafe,44,144.9800592,-37.84607473,Cafe
18-38 Siddeley Street,Riverside Teppanyaki,42,144.9536422,-37.82253633,Cafe
6-12 Miles Street,8 On Miles,22,144.9679695,-37.82843322,Cafe
305-307 Swanston Street,Ramen Bankara,60,144.9641668,-37.81101861,Cafe
121 Exhibition Street,Mabrown Curry House,40,144.9701092,-37.81281453,Cafe
535 Little Lonsdale Street,Mr Nice Guy,41,144.9560169,-37.8134766,Cafe
48-50 Grattan Street,Il Vicolo,180,144.96788,-37.80059699,Cafe
60 City Road,IBM Bistro,20,144.9662623,-37.82066923,Cafe
715-727 Bourke Street,Cafe Saporo,60,144.9502584,-37.81864992,Cafe
56-62 Lygon Street,Artee Cafe,7,144.9664413,-37.80566982,Cafe
408-412 Bourke Street,Corner & Bench,40,144.961492,-37.81443611,Cafe
1 Phillip Court,Black Jack Cafe,30,144.920988,-37.82600955,Cafe
33-71C Spencer Street,RAB Bar & Restaurant,30,144.9541587,-37.82020559,Cafe
267-275 Flinders Lane,RMB Cafe,24,144.9654844,-37.81710105,Cafe
205-207 Lygon Street,Ma's Dumpling Den,35,144.9665902,-37.80049164,Cafe
559-587 Collins Street,The Pressed Lab,24,144.9557275,-37.81902044,Cafe
32-54 Lonsdale Street,Degani At Urban Workshop,28,144.9707325,-37.8091842,Cafe
198-204 Bellair Street,The Premises Espresso,50,144.9301769,-37.79426147,Cafe
152-154 Lygon Street,Mawal,100,144.9667447,-37.80359309,Cafe
1-9 Powlett Street,My Sushi Japanese Cafe,22,144.9848341,-37.81608793,Cafe
173-175 Bourke Street,Edoya Japanese Restaurant,47,144.9684168,-37.81298798,Cafe
389-395 Lonsdale Street,Tsuta sushi,10,144.9610121,-37.81288006,Cafe
790-814 Collins Street,A25,72,144.9458305,-37.821044,Cafe
788-812 Bourke Street,Banc Cafe,80,144.9451224,-37.81888389,Cafe
199-209 Collins Street,Starbucks,56,144.9674304,-37.81584777,Cafe
3 Southgate Avenue,La Camera,220,144.9662623,-37.82066923,Cafe
308-336 Collins Street,Cafenatics Equitable Place,28,144.9633433,-37.81611256,Cafe
519-539 St Kilda Road,Cafe La Colline ,12,144.9798191,-37.8455379,Cafe
744-770 Bourke Street,Nando's,40,144.947217,-37.81817241,Cafe
324-328 William Street,La Stradda Cafe,100,144.9566886,-37.81146268,Cafe
111-129 Bourke Street,Kenny's Bakery Cafe,33,144.9701092,-37.81281453,Cafe
27-29 Elizabeth Street,Nando's,84,144.9643684,-37.81754524,Cafe
362-364 Spencer Street,Rej's Cafe & Kebabs,43,144.9511755,-37.81189101,Cafe
151-169 Kings Way,Hungry Jack's,30,144.9638608,-37.82864999,Cafe
399-413 Lonsdale Street,Hawker Boys,24,144.9606809,-37.81303978,Cafe
130-200 St Kilda Road,Gallery Kitchen,1000,144.9686338,-37.82281707,Cafe
427-431 St Kilda Road,Slater St Bench,32,144.9771931,-37.83854242,Cafe
 Alexandra Avenue,Jardin Tan,81,144.9803723,-37.83016988,Cafe
432-446 Docklands Drive,Degani Bakery Cafe,70,144.9378299,-37.81315031,Cafe
8 Collins Street,Market Lane Coffee,34,144.9732575,-37.81314231,Cafe
58-70 Lorimer Street,Loading Dock,65,144.946356,-37.82488026,Cafe
6 Riverside Quay,Ludlow Bar & Dining Room,100,144.9638287,-37.82082512,Cafe
45-49 Bourke Street,Sempre Pizza & Calzone,16,144.9719053,-37.8119837,Cafe
298-336 Victoria Parade,Hudsons Coffee Freemasons,48,144.9822638,-37.8094576,Cafe
37-43 Caravel Lane,B Club Cafe,20,144.9406594,-37.8149263,Cafe
138 Queensberry Street,Queens Cafe,16,144.9642948,-37.80444614,Cafe
163-173 Queen Street,Subway,34,144.9602243,-37.81467989,Cafe
320-386 Epsom Road,Saj Mediterranean Grill,8,144.9155212,-37.78257294,Cafe
196-198 Pelham Street,Keiser Cafe,8,144.9592355,-37.80185711,Cafe
109-117 Swanston Street,Thai Viet,38,144.9657774,-37.81507697,Cafe
112-114 Little Bourke Street,Shanghai Village,180,144.9690756,-37.81124441,Cafe
183 Elgin Street,Gemma Simple Italian,60,144.9683841,-37.79752965,Cafe
427-457 Swanston Street,The Vine Coffee Roasters,40,144.9626932,-37.80826292,Cafe
37-41 Little Bourke Street,Kri Kri Restaurant,80,144.9715059,-37.81083595,Cafe
241-245 Collins Street,Ganache Chocolate Lounge,28,144.9658313,-37.81606673,Cafe
32-54 Lonsdale Street,Roll'd Lonsdale Street,12,144.9707325,-37.8091842,Cafe
246-260 Bourke Street,Pad Thai,62,144.9658365,-37.81296443,Cafe
25 Wills Street,Operator 25,8,144.9571621,-37.81071591,Cafe
410-420 Elizabeth Street,Torasan Ramen,60,144.9611573,-37.80894909,Cafe
183-265 La Trobe Street,Grill'd Healthy Burgers,120,144.9630189,-37.81073331,Cafe
230 Grattan Street,HJC Bar,180,144.9612468,-37.79739836,Cafe
355-369 Spencer Street,Western Coffee Lounge,32,144.9503335,-37.81194572,Cafe
37-45 Flinders Lane,Cumulus Inc,141,144.9731346,-37.81494022,Cafe
109-117 Swanston Street,Om Vegetarian,34,144.9657774,-37.81507697,Cafe
9 Errol Street,The Hot Poppy,30,144.9489706,-37.80473152,Cafe
211-229 Sturt Street,Downstaris Bistro & Lounge ,80,144.9661569,-37.82967464,Cafe
75-77 Hardware Lane,Amigos Hardware Lane,100,144.9608667,-37.8131434,Cafe
167-173 Collins Street,Supernormal,160,144.9682892,-37.81563788,Cafe
275-285 Exhibition Street,Trunk,150,144.9689066,-37.80938323,Cafe
220 Spencer Street,Pretty Mama,40,144.9535531,-37.8153588,Cafe
359-373 Collins Street,Klatch,28,144.9624418,-37.81728432,Cafe
24-38 Little Bourke Street,Cafe Le Petite Bourke Patisserie ,27,144.9714138,-37.81033978,Cafe
3-5 Star Circus,Healthy Habits,36,144.9378299,-37.81315031,Cafe
555 Bourke Street,Simply Spanish,25,144.9578132,-37.81636534,Cafe
353-359 Little Bourke Street,Brother Baba Budan,16,144.9621697,-37.81353635,Cafe
582-606 Collins Street,Cafe Eurasia ,14,144.954944,-37.81850425,Cafe
654 Elizabeth Street,Old Hankau,30,144.9585194,-37.80307841,Cafe
56 Rosslyn Street,Rosslyn Pizzeria,18,144.9524041,-37.80751845,Cafe
230 Grattan Street,Egg Sake Bistro,52,144.9612468,-37.79739836,Cafe
122-148 Harbour Esplanade,Locker Room Cafe,20,144.9475776,-37.81656591,Cafe
188-194 Little Collins Street,Sarti Restaurant & Bar,40,144.9675807,-37.81390779,Cafe
230 Grattan Street,HJC Bar,100,144.9612468,-37.79739836,Cafe
210-222 Russell Street,Home Kitchen & Bar,80,144.9679947,-37.81132789,Cafe
70-74 Rosslyn Street,Le Taj Restaurant,50,144.9520393,-37.80775631,Cafe
143-175 Harbour Esplanade,Mill & Bakery at Central Pier,24,144.9435654,-37.8165193,Cafe
116 Lygon Street,Il Dolce Freddo,24,144.9666993,-37.80443778,Cafe
1 Star Circus,Chillipadi Mamak,20,144.9378299,-37.81315031,Cafe
840-850 Collins Street,Viet Rolls Plus,24,144.9445328,-37.82092961,Cafe
185-189 Domain Road,Ichi Ichi Ku Izakaya,22,144.9822675,-37.8343508,Cafe
821-827 Bourke Street,Coffee Gauge,68,144.9441447,-37.82029136,Cafe
391-393 Little Lonsdale Street,CJ Lunchbar ,10,144.9603411,-37.81187439,Cafe
435-443 Little Collins Street,Little Colin,20,144.9600859,-37.81638558,Cafe
140-164 Peel Street,Table By S,40,144.9566619,-37.80444772,Cafe
180 Rathdowne Street,Osc&r On Rathdowne ,6,144.9711917,-37.79514419,Cafe
255-257 Lygon Street,University Cafe,120,144.9668382,-37.79947744,Cafe
737-743 Bourke Street,The Hof Downtown,130,144.9489519,-37.81914692,Cafe
114-122 Franklin Street,Sung's Kitchen,78,144.9589367,-37.80819713,Cafe
990 La Trobe Street,Cafenatics,20,144.9467679,-37.81384049,Cafe
300-328 Grattan Street,Hudsons Coffee Melbourne Private,8,144.9559628,-37.79854141,Cafe
482-484 Bourke Street,Original Sushi,28,144.9593794,-37.8150902,Cafe
302-308 Flinders Lane,Cafe Bar Mile,18,144.9638971,-37.81719967,Cafe
242-284 Exhibition Street,Cafe Cavallino,159,144.9699756,-37.80941489,Cafe
31-35 Flinders Lane,Fonda Flinders Lane,130,144.9732924,-37.81489476,Cafe
53-57 Lonsdale Street,Bad Boys,40,144.9707149,-37.81005686,Cafe
172 Rathdowne Street,Fu Lu Chinese Cafe,20,144.9711594,-37.79532263,Cafe
11-19 Liverpool Street,Rice Paper Scissors Asian Kitchen,12,144.9713242,-37.81131159,Cafe
522-534 Collins Street,Mr Mason,75,144.9568348,-37.81767359,Cafe
10-20 Oliver Lane,Bowery to Williamsburg,29,144.9702912,-37.8161284,Cafe
163-261 Spencer Street,Le Cirque Fine Foods,98,144.951187,-37.81501701,Cafe
433 Little Collins Street,Dikstein's Corner Bar,66,144.9603413,-37.81631094,Cafe
79-85 Bourke Street,Fancy Hank's,50,144.9710404,-37.81217956,Cafe
377-391 Swanston Street,Hungry Jack's,154,144.9634198,-37.80945732,Cafe
238-244 Flinders Lane,Shuji Sushi,65,144.9659624,-37.81649503,Cafe
194-200 Bourke Street,Kaneda Japanese Restaurant,40,144.9672768,-37.8124312,Cafe
47 Errol Street,Wonky Trolley,18,144.9490476,-37.80390823,Cafe
139-141 Lygon Street,Universal Pizza,60,144.9660865,-37.80384773,Cafe
221 Little Lonsdale Street,Mad Mex,38,144.9657034,-37.810658,Cafe
221-231 Collins Street,Three Drops Espresso,6,144.9663304,-37.81584476,Cafe
161-163 Nicholson Street,Eden's Backyard,60,144.9748067,-37.79638849,Cafe
37-43 Caravel Lane,Steakhouse 66,100,144.9406594,-37.8149263,Cafe
464-468 Victoria Street,The Sensible Sandwich Cafe,45,144.9505407,-37.80500905,Cafe
181 William Street,Laurent Boulangerie Patisserie,16,144.9573923,-37.81531863,Cafe
435-443 Little Collins Street,Cafe Intimo,50,144.9600859,-37.81638558,Cafe
221 Little Lonsdale Street,Max Brenner Chocolates,56,144.9657034,-37.810658,Cafe
221 Little Lonsdale Street,Meat Fish Wine,4,144.9657034,-37.810658,Cafe
10-12 Goldie Place,Rare Steakhouse Midtown,90,144.9607769,-37.81338564,Cafe
40-66 Siddeley Street,Pud Thai Vs Pho,22,144.9525486,-37.82290352,Cafe
37-43 Caravel Lane,Bopha Devi Docklands,70,144.9406594,-37.8149263,Cafe
141-165 Collins Street,Yak Italian Kitchen & Bar,12,144.9687553,-37.81543178,Cafe
31-41 Swanston Street,Subway,33,144.9667041,-37.81674222,Cafe
176-178 Faraday Street,Market Lane Coffee,4,144.9684894,-37.79857335,Cafe
355-369 Spencer Street,Western Coffee Lounge,8,144.9503335,-37.81194572,Cafe
3-5 Star Circus,The Groove Train,120,144.9378299,-37.81315031,Cafe
95-97 Lygon Street,Black Cat on Lygon,50,144.9659498,-37.80467681,Cafe
32-54 Lonsdale Street,Roll'd Lonsdale Street,13,144.9707325,-37.8091842,Cafe
40-56 Queens Bridge Street,Mesh/Tonic Bar,16,144.9597768,-37.8238538,Cafe
2-50 Southbank Boulevard,Pellaroma Cafe Bar ,80,144.962643,-37.82221927,Cafe
158-164 Queen Street,NY Deli,65,144.9610146,-37.81453148,Cafe
559-587 Collins Street,The Pressed Lab,52,144.9557275,-37.81902044,Cafe
589-603 Bourke Street,Shuji Sushi,80,144.956182,-37.8165272,Cafe
275 King Street,Yabby House,35,144.9542621,-37.81381086,Cafe
1-5 Elizabeth Street,Pho Flinders Express,38,144.964608,-37.81805666,Cafe
106-120 Harbour Esplanade,Harbour Cafe,64,144.947217,-37.81817241,Cafe
183-265 La Trobe Street,Mad Mex,25,144.9630189,-37.81073331,Cafe
29-65 South Wharf Promenade,BangPop,36,144.9503336,-37.82409303,Cafe
171-173 Russell Street,Nam Loong Seafood Restaurant,64,144.9675898,-37.81238088,Cafe
41-55 Victoria Harbour Promenade,VinTam's Bakery,65,144.9429888,-37.81938143,Cafe
200 Batman Avenue,Delaware North Companies Australia Pty Ltd,4920,144.9803771,-37.82181585,Cafe
807-811 Bourke Street,Banoi,13,144.9450661,-37.81970478,Cafe
141-165 Collins Street,Yak Italian Kitchen & Bar,108,144.9687553,-37.81543178,Cafe
184-192 Queen Street,Kenny's Bakery Cafe,36,144.9606804,-37.81402844,Cafe
10-14 Errol Street,Sosta Cucina,60,144.9495689,-37.80483255,Cafe
161 Spring Street,The European,50,144.9724291,-37.8109513,Cafe
8 Whiteman Street,Bistro Guillaume,70,144.9586604,-37.82312164,Cafe
178-188 William Street,Berto's Bar,25,144.9580871,-37.81476776,Cafe
11-37 Exhibition Street,The French Brasserie,15,144.9717262,-37.81546152,Cafe
688 Queensberry Street,Beatrix Cafe,8,144.944463,-37.80227413,Cafe
11-37 Exhibition Street,The Lobby Cafe,33,144.9717262,-37.81546152,Cafe
219-221 Lygon Street,Papa Gino's Pizza Restaurant,40,144.9667173,-37.80018973,Cafe
156-180 Berkeley Street,Bar Commercio,115,144.9588203,-37.80155731,Cafe
221 Little Lonsdale Street,Hanaichi,54,144.9657034,-37.810658,Cafe
