Street address,Trading name,Number of seats,Longitude,Latitude,Type
90-98 Collins Street,Entrecote City,65,144.9702813,-37.8139675,Cafe
121-127 Little Collins Street,Harry's At Stamford ,8,144.9697676,-37.8136886,Cafe
502 Queensberry Street,Mr Price's Food Store,30,144.9506624,-37.8028658,Cafe
53-57 Lonsdale Street,Healthy Nibbles Cafe,16,144.9707149,-37.81005686,Cafe
559-587 Collins Street,Earl Canteen,10,144.9557275,-37.81902044,Cafe
435-443 Little Collins Street,Little Colin,10,144.9600859,-37.81638558,Cafe
594 Queensberry Street,Twenty & Six Espresso,26,144.9475392,-37.80257072,Cafe
192-194 Bellair Street,Spinifex Cafe,10,144.9300585,-37.79405204,Cafe
118 Lygon Street,Grilled 118,30,144.9666993,-37.80443778,Cafe
273 Swanston Street,Taiwan Cafe,56,144.9645317,-37.81185964,Cafe
131-137 Lonsdale Street,Footlights Restaurant,80,144.96853,-37.81098009,Cafe
190 Bellair Street,Karelay Patisserie,22,144.9300805,-37.79395787,Cafe
12-18 Meyers Place,Lily Blacks,100,144.972451,-37.81221617,Cafe
76-84 Collins Street,Mediterranean Deli,4,144.9707087,-37.81358646,Cafe
33-35 Guildford Lane,Rustica Canteen,4,144.9598612,-37.81146107,Cafe
199-207 Spring Street,Hudson's Coffee,25,144.9720594,-37.81012699,Cafe
194-200 Bourke Street,Red Silks Restaurant & Bar,80,144.9672768,-37.8124312,Cafe
494-512 Bourke Street,Movida Aqui,50,144.9587607,-37.81494883,Cafe
228-236 Flinders Street,Ratee Thai,36,144.9665517,-37.81724878,Cafe
221-231 Collins Street,Om Vegetarian,48,144.9663304,-37.81584476,Cafe
65W Toorak Road,Fawkner Park Tennis Centre,15,144.9800012,-37.83804253,Cafe
535 Little Lonsdale Street,Seven Star Korea,68,144.9560169,-37.8134766,Cafe
18-38 Siddeley Street,Man Mo @ Wtc,60,144.9536422,-37.82253633,Cafe
1-9 Southbank Boulevard,Left Bank Melbourne,75,144.9628914,-37.8210403,Cafe
361-363 Little Bourke Street,Tipo 00,44,144.9619926,-37.81358648,Cafe
507-523 Elizabeth Street,Coffea Coffee,27,144.9572395,-37.80745984,Cafe
397-407 Docklands Drive,Replay cafe,6,144.9401994,-37.81427742,Cafe
34 Errol Street,KL Bunga Raya,14,144.9497225,-37.80435713,Cafe
114 Lygon Street,Killiney Kopitiam ,27,144.9666993,-37.80443778,Cafe
601-611 Little Collins Street,Spicy Korea,38,144.9549054,-37.81802782,Cafe
45 Collins Street,Tazio Birraria & Pizzeria,60,144.9726281,-37.81430616,Cafe
790-814 Collins Street,Panda Loves Fish,18,144.9458305,-37.821044,Cafe
487-503 Collins Street,Merchant Osteria Veneta,140,144.9581185,-37.81853877,Cafe
2 Swanston Street,Cafe Chinotto,180,144.9699175,-37.81784465,Cafe
41-43 Exhibition Street,Blue Bag,14,144.9715746,-37.81501535,Cafe
246-260 Bourke Street,Melbourne Dae Jang Geum Korean BBQ,120,144.9658365,-37.81296443,Cafe
30 Royal Parade,Dr Dax Kitchen,50,144.9612468,-37.79739836,Cafe
209-213 Elizabeth Street,Tropicana Juice Bar,30,144.962548,-37.81354034,Cafe
23 Lansdowne Street,Cafe Lansdowne,30,144.9781229,-37.80904405,Cafe
77-87 Southbank Boulevard,Alliance Catering,82,144.9670117,-37.8229657,Cafe
221-231 Queen Street,French Fix,12,144.9597543,-37.81355361,Cafe
276-284 Russell Street,Fukutontei,48,144.9670695,-37.80992238,Cafe
16-30 Russell Place,Neapoli Wine Bar,35,144.9674275,-37.81355434,Cafe
555 Bourke Street,Famish'd,36,144.9578132,-37.81636534,Cafe
23-29 Bourke Street,Society Cafe,20,144.9723947,-37.81181007,Cafe
410-420 La Trobe Street,Cafenatics,8,144.957114,-37.81123723,Cafe
2 Convention Centre Place,Caffe Cino,9,144.9523782,-37.82539976,Cafe
378-392 La Trobe Street,Charles LaTrobe Coffee Co,80,144.9580529,-37.81075363,Cafe
121 Exhibition Street,In a Rush,12,144.9701092,-37.81281453,Cafe
242 Swanston Street,Ghin Khao,95,144.9653591,-37.81218452,Cafe
553 St Kilda Road,Cafe Ella,40,144.9803782,-37.84685298,Cafe
20-26 Queen Street,Maha Bar & Grill,20,144.9625299,-37.81819275,Cafe
399-413 Lonsdale Street,Hawker Boys,14,144.9606809,-37.81303978,Cafe
199-209 Collins Street,Caboose Canteen,60,144.9674304,-37.81584777,Cafe
166-168 Lygon Street,Il Gambero On The Park ,221,144.9668138,-37.803305,Cafe
377-381 Lonsdale Street,Sun Moth Canteen & Bar,62,144.9614648,-37.81291055,Cafe
302-308 Flinders Lane,Robot Sushi & Bar,12,144.9638971,-37.81719967,Cafe
744-770 Bourke Street,Black Cod,20,144.947217,-37.81817241,Cafe
91-93 Flinders Lane,Papa Goose / Mary Fortune Cocktail Bar,80,144.9712228,-37.81543506,Cafe
279 Victoria Street,In Season Thai Cuisine,54,144.9519704,-37.80566937,Cafe
187 King Street,Hanabishi Japanese Restaurant,70,144.9551249,-37.81579101,Cafe
97-103 Flemington Road,Avist Cafe ,34,144.9527053,-37.79844295,Cafe
816-828 Bourke Street,Squires Loft Dockland,34,144.943969,-37.81927362,Cafe
19 Somerset Place,The Little Mule Cafe,45,144.9623885,-37.81379815,Cafe
45 Collins Street,Asian Pavillion ,13,144.9726281,-37.81430616,Cafe
8 Whiteman Street,Gochi,40,144.9586604,-37.82312164,Cafe
210-222 Russell Street,Ants Bistro,70,144.9679947,-37.81132789,Cafe
380-384 Little Bourke Street,French Saloon,50,144.9613283,-37.81354346,Cafe
338-352 Bourke Street,Gekkazan,10,144.9632879,-37.81360425,Cafe
3 Southgate Avenue,Pure South Dining,250,144.9662623,-37.82066923,Cafe
180-182 Bourke Street,Hungry Jack's,130,144.9677867,-37.81264684,Cafe
335-339 Flinders Lane,Pronto On Flinders,60,144.9632258,-37.81784765,Cafe
528-538 Lonsdale Street,Lua Bakery,9,144.9564217,-37.81365662,Cafe
555 La Trobe Street,Cafe 555,15,144.9528962,-37.81327283,Cafe
280-292 Collins Street,Caffe Duomo,29,144.9645574,-37.81567229,Cafe
2-8 Queen Street,Anchor Espresso,30,144.9627098,-37.81858716,Cafe
1-19 Princes Walk,Riverland Bar,220,144.9689349,-37.81865919,Cafe
151-165 Franklin Street,Andrews Hamburger,60,144.9595755,-37.80904835,Cafe
2-16 Newquay Promenade,Docklands Lotus Restaurant,125,144.9436836,-37.81389091,Cafe
183-265 La Trobe Street,Ajisen Ramen,96,144.9630189,-37.81073331,Cafe
103-105 Flinders Lane,Cafe Kinetic,100,144.9709643,-37.81556733,Cafe
457-469 Little Collins Street,Two Fish Seafood Cafe,14,144.95955,-37.81660734,Cafe
253-265 Flinders Lane,The Journal Canteen/Oskars Kitchen,35,144.9659028,-37.81706291,Cafe
439-441 Docklands Drive,James Squire,138,144.9390269,-37.81517782,Cafe
2 Convention Centre Place,Melbourne Public,350,144.9523782,-37.82539976,Cafe
399-413 Lonsdale Street,A25,50,144.9606809,-37.81303978,Cafe
744-770 Bourke Street,Halyard Coffee,14,144.947217,-37.81817241,Cafe
268-276 Victoria Street,Woo-Ga,45,144.9573902,-37.80580455,Cafe
214-222 Clarendon Street,Square & Compass,12,144.9841154,-37.80970632,Cafe
29-65 South Wharf Promenade,Meat Market South Wharf,72,144.9503336,-37.82409303,Cafe
240-254 Victoria Parade,Solah,44,144.9799791,-37.80919457,Cafe
549-551 St Kilda Road,Epicure Kitchen Cafe,50,144.9802844,-37.84659007,Cafe
56-62 Leveson Street,Cafe Trutrack,35,144.9514854,-37.80284239,Cafe
333-335 La Trobe Street,Kanda Sushi Noodle Bar,10,144.9596443,-37.81107017,Cafe
392-406 Bourke Street,Le Petite Creperie,18,144.9617562,-37.81416355,Cafe
