date_time,sensor_id,hourly_counts,latitude,longitude,time
20/06/2019 16:00,1,3354,-37.8134944,144.9651532,16
20/06/2019 17:00,1,3756,-37.8134944,144.9651532,17
21/06/2019 10:00,1,1366,-37.8134944,144.9651532,10
21/06/2019 11:00,1,2101,-37.8134944,144.9651532,11
21/06/2019 12:00,1,3585,-37.8134944,144.9651532,12
21/06/2019 13:00,1,4007,-37.8134944,144.9651532,13
21/06/2019 14:00,1,3404,-37.8134944,144.9651532,14
21/06/2019 15:00,1,3275,-37.8134944,144.9651532,15
21/06/2019 16:00,1,3421,-37.8134944,144.9651532,16
21/06/2019 17:00,1,4114,-37.8134944,144.9651532,17
22/06/2019 10:00,1,1564,-37.8134944,144.9651532,10
22/06/2019 11:00,1,2296,-37.8134944,144.9651532,11
22/06/2019 12:00,1,3776,-37.8134944,144.9651532,12
22/06/2019 13:00,1,4135,-37.8134944,144.9651532,13
22/06/2019 14:00,1,3573,-37.8134944,144.9651532,14
22/06/2019 15:00,1,3408,-37.8134944,144.9651532,15
22/06/2019 16:00,1,3723,-37.8134944,144.9651532,16
22/06/2019 17:00,1,4619,-37.8134944,144.9651532,17
23/06/2019 10:00,1,1361,-37.8134944,144.9651532,10
23/06/2019 11:00,1,2370,-37.8134944,144.9651532,11
23/06/2019 12:00,1,3100,-37.8134944,144.9651532,12
23/06/2019 13:00,1,3621,-37.8134944,144.9651532,13
23/06/2019 14:00,1,3906,-37.8134944,144.9651532,14
23/06/2019 15:00,1,4079,-37.8134944,144.9651532,15
23/06/2019 16:00,1,4174,-37.8134944,144.9651532,16
23/06/2019 17:00,1,3483,-37.8134944,144.9651532,17
24/06/2019 10:00,1,1273,-37.8134944,144.9651532,10
24/06/2019 11:00,1,2104,-37.8134944,144.9651532,11
24/06/2019 12:00,1,2929,-37.8134944,144.9651532,12
24/06/2019 13:00,1,3116,-37.8134944,144.9651532,13
24/06/2019 14:00,1,3469,-37.8134944,144.9651532,14
24/06/2019 15:00,1,3744,-37.8134944,144.9651532,15
24/06/2019 16:00,1,3460,-37.8134944,144.9651532,16
24/06/2019 17:00,1,2923,-37.8134944,144.9651532,17
25/06/2019 10:00,1,1267,-37.8134944,144.9651532,10
25/06/2019 11:00,1,1848,-37.8134944,144.9651532,11
25/06/2019 12:00,1,3313,-37.8134944,144.9651532,12
25/06/2019 13:00,1,3628,-37.8134944,144.9651532,13
25/06/2019 14:00,1,3074,-37.8134944,144.9651532,14
25/06/2019 15:00,1,3013,-37.8134944,144.9651532,15
25/06/2019 16:00,1,3051,-37.8134944,144.9651532,16
25/06/2019 17:00,1,3257,-37.8134944,144.9651532,17
26/06/2019 10:00,1,1248,-37.8134944,144.9651532,10
26/06/2019 11:00,1,1806,-37.8134944,144.9651532,11
26/06/2019 12:00,1,3291,-37.8134944,144.9651532,12
26/06/2019 13:00,1,3696,-37.8134944,144.9651532,13
26/06/2019 14:00,1,3016,-37.8134944,144.9651532,14
26/06/2019 15:00,1,3046,-37.8134944,144.9651532,15
26/06/2019 16:00,1,3125,-37.8134944,144.9651532,16
26/06/2019 17:00,1,3350,-37.8134944,144.9651532,17
27/06/2019 10:00,1,1425,-37.8134944,144.9651532,10
27/06/2019 11:00,1,1954,-37.8134944,144.9651532,11
27/06/2019 12:00,1,3263,-37.8134944,144.9651532,12
27/06/2019 13:00,1,3649,-37.8134944,144.9651532,13
27/06/2019 14:00,1,2997,-37.8134944,144.9651532,14
27/06/2019 15:00,1,3056,-37.8134944,144.9651532,15
