Barcode,Longitude,Latitude
MPM1647055,144.96500968643682,-37.80394057127239
MPM1629556,144.95221831913142,-37.78189044292721
MPM1647346,144.9594887780133,-37.82632898664245
MPM1647347,144.95967576217654,-37.826430058604565
MPM1647332,144.96963363539862,-37.81645382168683
MPM1647339,144.9621530596515,-37.818486096567646
MPM1647340,144.96228736630846,-37.81813636791829
MPM1647343,144.9606374646845,-37.82532824680308
MPM1647344,144.96163864278532,-37.82476309245853
MPM1647345,144.96156250477756,-37.82454288806336
MPM1647348,144.95821920296882,-37.82625248235267
MPM1647435,144.95847482222834,-37.80884464222829
MPM1647579,144.95872223336343,-37.8269856132651
MPM1647792,144.9504345653076,-37.821535137479465
MPM1647412,144.95747104260911,-37.811569755691046
MPM1647413,144.95796196359868,-37.81119892950512
MPM1645297,144.9607006753231,-37.804175429318974
MPM1647573,144.96104707175644,-37.815434837452976
MPM1647574,144.96113414533008,-37.81562221264769
MPM1647476,144.95860555497015,-37.81789196923226
MPM1647333,144.97041391044868,-37.809781126351055
MPM1647334,144.97121974382497,-37.809543953863184
MPM1647570,144.95042720167118,-37.81067536945114
MPM1647661,144.9544016515901,-37.807687686073145
MPM1647106,144.9649100587383,-37.80294743713413
MPM1647351,144.97004866560218,-37.82248904357811
MPM1647793,144.953395945063,-37.79800629699957
MPM1647349,144.9519369217593,-37.81458035594984
MPM1647350,144.96060169550958,-37.8068534540352
MPM1647567,144.96497630045363,-37.8223470775699
MPM1647569,144.96636638921242,-37.82142487982575
MPM1647566,144.951558266872,-37.80943368603649
MPM1647580,144.96269346575562,-37.818093821659005
MPM1647581,144.95748401792298,-37.81106967520269
MPM1647337,144.97166822493102,-37.814776345429564
MPM1647338,144.97176628413527,-37.81436200620818
MPM1647582,144.95574056388847,-37.82017281582276
MPM1647583,144.95333996903787,-37.81592526962258
MPM1647584,144.95445913491616,-37.81560238857461
MPM1647585,144.97230528061883,-37.815522795250565
MPM1647586,144.97196653534368,-37.8154293849346
MPM1630445,144.95301299258531,-37.78226017724227
MPM1647600,144.9622822187981,-37.80647205190106
MPM1630371,144.97903522288254,-37.8088240765491
MPM1630372,144.9597095484369,-37.783986345766465
MPM1630373,144.9583686167371,-37.79514485945245
MPM1630374,144.96005492629473,-37.78130673184953
MPM1630375,144.96032163595115,-37.779135199453975
MPM1630376,144.9743826802445,-37.8083134610977
MPM1630377,144.97938289175443,-37.808858266943005
MPM1630379,144.96038138486946,-37.77860097814712
MPM1630380,144.96025923381623,-37.779664706617886
MPM1630381,144.96291679977898,-37.781570852769974
MPM1630383,144.9617313360813,-37.79119165623689
MPM1630384,144.9443079444594,-37.82093920794034
MPM1630385,144.94045776903073,-37.81257177408608
MPM1630095,144.96673976648194,-37.825130003278616
MPM1630387,144.9603867478148,-37.791468758679024
MPM1630388,144.9629823492618,-37.78674875094142
MPM1630389,144.96212340425717,-37.77875155563165
MPM1630390,144.9600106932254,-37.790921763622315
MPM1630391,144.96624101443686,-37.79334893635965
MPM1630392,144.9619061454305,-37.79049380774107
MPM1630393,144.96854930957232,-37.79052151051396
MPM1630394,144.96888236068168,-37.78857636244474
MPM1630395,144.96839969078002,-37.79137781698426
MPM1630396,144.95919591536673,-37.78825286564409
MPM1630398,144.96461830986348,-37.796065190048665
MPM1630399,144.96521084234467,-37.79393044385064
MPM1630401,144.97231717849138,-37.80791521507372
MPM1630404,144.95946370786953,-37.78609408142811
MPM1630405,144.95931961892674,-37.78718227285706
MPM1630406,144.96221963378073,-37.78895541361883
MPM1647411,144.9709030171573,-37.81248473363936
MPM1630412,144.9648431653369,-37.79464565543845
MPM1630414,144.96271530361759,-37.780443199388706
MPM1630416,144.96475065683882,-37.795281199069045
MPM1630418,144.96739915092158,-37.793775677680365
MPM1630421,144.96925494426003,-37.78641379062514
MPM1631127,144.96120741335494,-37.778276101899245
MPM1631129,144.9575886596596,-37.79748242630301
MPM1631130,144.97212681471768,-37.79497983193095
MPM1631131,144.9720677993466,-37.795193125251735
MPM1631134,144.96264875130697,-37.779492717802455
MPM1631138,144.96807084452826,-37.79332098044435
MPM1631142,144.9634588962943,-37.78214209512724
MPM1631143,144.96629081761256,-37.79315698012081
MPM1631145,144.96267806689374,-37.78830686273076
MPM1631146,144.95939974418837,-37.78661956817209
MPM1647422,144.97069168425145,-37.81267412384687
MPM1631148,144.95809134059655,-37.797260874434365
MPM1631149,144.95838563726318,-37.79086421655005
MPM1647372,144.96186628603718,-37.826302841389534
MPM1620107,144.98252323875553,-37.810408475086525
MPM1620109,144.97784329909746,-37.813557896362994
MPM1620110,144.9773622778746,-37.81477098288361
MPM1630400,144.9567542296254,-37.810383538560636
MPM1630402,144.97759428554647,-37.808662663908784
MPM1630403,144.98148462352384,-37.80909610780085
MPM1630410,144.98057530944118,-37.80898851295974
MPM1630411,144.94403385873824,-37.8203408019881
MPM1631135,144.96727318985242,-37.79293820062468
MPM1631136,144.95976394379107,-37.7909249690711
MPM1631137,144.97271097011304,-37.80796119656164
MPM1631139,144.9470818659705,-37.81431690711793
MPM1631140,144.96719811701487,-37.793171346613825
MPM1631141,144.96047680864746,-37.79131732527788
MPM1629548,144.96850605569182,-37.82793563419256
MPM1629559,144.9693166956185,-37.8300502752343
MPM1620172,144.94442564433106,-37.820314173087894
MPM1631128,144.96361551202313,-37.7842509239136
MPM1631133,144.96378928682438,-37.78316536595747
MPM1620196,144.98975498031098,-37.809842121866076
MPM1647450,144.9545137725307,-37.819527888189114
MPM1647454,144.95531470744203,-37.82203102222026
MPM1647560,144.9546595475285,-37.82181095798703
MPM1647561,144.95476550268856,-37.821949010958186
MPM1647738,144.9569303625068,-37.787067530519245
MPM1647739,144.95689318418803,-37.78635803648484
MPM1647740,144.95689309715934,-37.785424891417726
MPM1647748,144.95838423214138,-37.779495034417025
MPM1647750,144.9594519834493,-37.77859219810682
MPM1620105,144.93706352181104,-37.815179348362044
